Diazepam,busy,lots of walking,swam,travel,Superlong nap,caffeine,Oxcarbazepine,high salt,dairy,walked,high sodium,hearing aid,sugar,Dandelion tea,ate breakfast,row
,2.22044604925e-16,2.0,0.0,0.0,2.0,0.0,,0.0,,,2.0,2.0,,2.0,,Diazepam
2.22044604925e-16,,2.0,0.0,0.0,2.0,0.0,,0.0,,,2.0,2.0,,2.0,,busy
2.0,2.0,,2.0,2.0,,2.0,,2.0,,,0.0,0.0,,,,lots of walking
0.0,0.0,2.0,,0.0,,0.0,,0.0,,,2.0,2.0,,,,swam
0.0,0.0,2.0,0.0,,,0.0,,0.0,,,2.0,2.0,,,,travel
2.0,2.0,,,,,,,,,,,,,0.0,,Superlong nap
0.0,0.0,2.0,0.0,0.0,,,,0.0,,,2.0,2.0,,,,caffeine
,,,,,,,,2.0,0.0,0.0,,,2.0,,2.0,Oxcarbazepine
0.0,0.0,2.0,0.0,0.0,,0.0,2.0,,2.0,2.0,2.0,2.0,0.0,,0.0,high salt
,,,,,,,0.0,2.0,,0.0,,,2.0,,2.0,dairy
,,,,,,,0.0,2.0,0.0,,,,2.0,,2.0,walked
2.0,2.0,0.0,2.0,2.0,,2.0,,2.0,,,,0.0,,,,high sodium
2.0,2.0,0.0,2.0,2.0,,2.0,,2.0,,,0.0,,,,,hearing aid
,,,,,,,2.0,0.0,2.0,2.0,,,,,0.0,sugar
2.0,2.0,,,,0.0,,,,,,,,,,,Dandelion tea
,,,,,,,2.0,0.0,2.0,2.0,,,0.0,,,ate breakfast
