Yoga,hiking,gluten free diet,Fluvoxamine,Echinacea,acupuncture treatment,Acetaminophen,drank alcohol,mountain biking,Exercise,5-htp,B12 timed release,Folic acid,Methylphenidate,lots of desk work,housework,Plaquenil,Biotin,dairy,Topiramate,Tyrosine,10K steps,bunny cuddles,rest day,laundry,Chiropractic,Tavegyl,Buffered Salmon Oil - DHA - EPA,Calcium citrate,Voltaren,listen to music ,Magnesium,Midodrine,Love,Sisu B Calm,WomenSense AdrenaSense Adrenal Formula,crafting,Cetirizine,Ultrasound,exercise,Vitamin d,AOR Zinc-Copper Balance,Curcumin,Probiotic Pearls,Ropinirole,row
,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,,,0.0,,2.0,0.0,0.0,0.0,0.0,,,0.0,2.0,,,0.0,2.0,0.0,0.0,0.0,,,0.0,,2.0,2.0,,,,,0.0,Yoga
0.0,,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,,,0.0,,2.0,0.0,0.0,0.0,0.0,,,0.0,2.0,,,0.0,2.0,0.0,0.0,0.0,,,0.0,,2.0,2.0,,,,,0.0,hiking
0.0,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,,,0.0,,2.0,0.0,0.0,0.0,0.0,,,0.0,2.0,,,0.0,2.0,0.0,0.0,0.0,,,0.0,,2.0,2.0,,,,,0.0,gluten free diet
0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,0.0,,,0.0,,2.0,0.0,0.0,0.0,0.0,,,0.0,2.0,,,0.0,2.0,0.0,0.0,0.0,,,0.0,,2.0,2.0,,,,,0.0,Fluvoxamine
,,,,,0.0,2.0,,,,2.0,0.0,0.0,,2.0,0.0,,0.0,,,,,,2.0,0.0,,,0.0,0.0,,,,,,0.0,0.0,,0.0,,,0.0,0.0,2.0,2.0,,Echinacea
,,,,0.0,,2.0,,,,2.0,0.0,0.0,,2.0,0.0,,0.0,,,,,,2.0,0.0,,,0.0,0.0,,,,,,0.0,0.0,,0.0,,,0.0,0.0,2.0,2.0,,acupuncture treatment
,,,,2.0,2.0,,,,,0.0,2.0,2.0,,0.0,2.0,,2.0,,,,,,0.0,2.0,,,2.0,2.0,,,,,,2.0,2.0,,2.0,,,2.0,2.0,0.0,0.0,,Acetaminophen
0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,0.0,,,0.0,,2.0,0.0,0.0,0.0,0.0,,,0.0,2.0,,,0.0,2.0,0.0,0.0,0.0,,,0.0,,2.0,2.0,,,,,0.0,drank alcohol
0.0,0.0,0.0,0.0,,,,0.0,,0.0,,,,0.0,,,0.0,,2.0,0.0,0.0,0.0,0.0,,,0.0,2.0,,,0.0,2.0,0.0,0.0,0.0,,,0.0,,2.0,2.0,,,,,0.0,mountain biking
0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,0.0,,,0.0,,2.0,0.0,0.0,0.0,0.0,,,0.0,2.0,,,0.0,2.0,0.0,0.0,0.0,,,0.0,,2.0,2.0,,,,,0.0,Exercise
