Tranexamic acid,Osteopathy,Meticorten,Went to a party,fuck yeah avocado,ate breakfast,Calcort,Prednisone,ponstan,Ketotifeno,Excedrin,skipped lunch,psychologist,Magnesium,House cleaning,Allegra,read book,Slept a lot,crawled,Lidocaine Patch,Cane to get down stairs,cocodamol,Home physio exercises,Prilosec,Vicodin,Citalopram,Read comics,cooking,Had candy,Played Go fish,Ibuprofen,Quiet,vacuuming,Vitamin B,Daytime nap,Maxalt,slept in,Zomig,cuddles!,Methotrexate,massage,Yoga,physical therapy,Didn't shower,had sex,church,Imodium,Metformin,hand and face physio only,Diphenhydramine,10 hours sleep,walked the dogs,Physio,Topiramate,Paracatamol with codeine,paperwork,Bagomicina,cereal,Gardening,Ate poorly,Church,Light dinner,ate dinner,Ate junk food,Went to the store,brushed dogs,Pantoprazole,aqua therapy,yoga,Ibuprofen 600mg,Ginkgo,Zopiclone,Friends,had sex last night,laundry,Ranitidine,Cefaly Unit,Seasonique,Progesterone,had sex ,Migraine herb feverfew tablets,Singulair,hot dog,blowjob,Montelukast,cooked,Groceries,Had peach soda,Trip,Multi-vitamin,row
,0.0,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,2.0,,,,,,,,,0.0,Tranexamic acid
0.0,,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,2.0,,,,,,,,,0.0,Osteopathy
,,,,,,0.0,,,0.0,,,,,2.0,0.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,0.0,,2.0,,,,,,,2.0,,,2.0,,,,2.0,,,,,,,,,0.0,,,0.0,,2.0,,2.0,,Meticorten
,,,,,2.0,,,,,,2.0,,,,,,2.0,,,,,,,,,0.0,,2.0,0.0,,0.0,,,,,2.0,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,Went to a party
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2.0,,0.0,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,0.0,,0.0,,,,,fuck yeah avocado
,,,2.0,,,,,,,,0.0,,,,,,0.0,,,,,,,,,2.0,,0.0,2.0,,2.0,,,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,2.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,ate breakfast
,,0.0,,,,,,,0.0,,,,,2.0,0.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,0.0,,2.0,,,,,,,2.0,,,2.0,,,,2.0,,,,,,,,,0.0,,,0.0,,2.0,,2.0,,Calcort
,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,2.0,,,,,,2.0,,,,,2.0,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,Prednisone
0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,2.0,,,,,,,,,0.0,ponstan
,,0.0,,,,0.0,,,,,,,,2.0,0.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,0.0,,2.0,,,,,,,2.0,,,2.0,,,,2.0,,,,,,,,,0.0,,,0.0,,2.0,,2.0,,Ketotifeno
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,Excedrin
,,,2.0,,0.0,,,,,,,,,,,,0.0,,,,,,,,,2.0,,0.0,2.0,,2.0,,,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,2.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,skipped lunch
0.0,0.0,,,,,,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,2.0,,,,,,,,,0.0,psychologist
0.0,0.0,,,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,2.0,,,,,,,,,0.0,Magnesium
,,2.0,,,,2.0,,,2.0,,,,,,2.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,2.0,,0.0,,,,,,,0.0,,,0.0,,,,0.0,,,,,,,,,2.0,,,2.0,,0.0,,0.0,,House cleaning
,,0.0,,,,0.0,,,0.0,,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,0.0,,2.0,,,,,,,2.0,,,2.0,,,,2.0,,,,,,,,,0.0,,,0.0,,2.0,,2.0,,Allegra
,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,0.0,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,0.0,,0.0,,,,,read book
,,,2.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,2.0,,0.0,2.0,,2.0,,,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,2.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,Slept a lot
,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crawled
,,,,,,,0.0,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,2.0,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,Lidocaine Patch
,,,,,,,0.0,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,2.0,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,Cane to get down stairs
,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,0.0,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cocodamol
0.0,0.0,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,2.0,,,,,,,,,0.0,Home physio exercises
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prilosec
,,,,,,,2.0,,,,,,,,,,,,2.0,2.0,,,,,,,,,,1.11022302463e-16,,,,,1.11022302463e-16,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,Vicodin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Citalopram
,,,0.0,,2.0,,,,,,2.0,,,,,,2.0,,,,,,,,,,,2.0,0.0,,0.0,,,,,2.0,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,Read comics
,,2.0,,,,2.0,,,2.0,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,2.0,,0.0,,,,,,,0.0,,,0.0,,,,0.0,,,,,,,,,2.0,,,2.0,,0.0,,0.0,,cooking
,,,2.0,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,2.0,,,2.0,,2.0,,,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,2.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,Had candy
,,,0.0,,2.0,,,,,,2.0,,,,,,2.0,,,,,,,,,0.0,,2.0,,,0.0,,,,,2.0,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,Played Go fish
,,,,2.0,,,2.0,,,,,,,,,2.0,,2.0,2.0,2.0,0.0,,,1.11022302463e-16,,,,,,,,2.0,,2.0,2.22044604925e-16,,,2.0,,1.11022302463e-16,2.0,,,2.0,2.0,,,2.0,,,,,,,2.0,,,,2.0,2.0,,,,,,,,,,,,,2.0,2.0,,2.0,2.0,,2.0,,,,2.0,,2.0,,,,,Ibuprofen
