Diazepam,sugar free diet,L-methylfolate,Selenium,Pristiq,Vitamin C,massage,Glucosamine,Multivitamin,birth control,Meditation,Aspirin,Keppra,Lexapro,Gabapentin,row
,,0.0,,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Diazepam
,,,,,,,,,,,,,,,sugar free diet
0.0,,,,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L-methylfolate
,,,,,0.0,,,,,,,,,,Selenium
0.0,,0.0,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pristiq
,,,0.0,,,,,,,,,,,,Vitamin C
2.0,,2.0,,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,massage
0.0,,0.0,,0.0,,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Glucosamine
0.0,,0.0,,0.0,,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Multivitamin
0.0,,0.0,,0.0,,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,birth control
0.0,,0.0,,0.0,,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,Meditation
0.0,,0.0,,0.0,,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Aspirin
0.0,,0.0,,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Keppra
0.0,,0.0,,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Lexapro
0.0,,0.0,,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Gabapentin
