Multi vitamin,afternoon coffee,busy,Slept well,tough half marathon,hiking,allergy shot,Ligament Restore,large breakfast,ativan,walked,exercise,Vitamin C,massage,no breakfast,mangos,Amitriptyline,ate breakfast,11 hours of sleep,kayaked yesterday,row
,0.0,,,,,0.0,2.0,0.0,,,,2.0,2.0,,,2.0,,,,Multi vitamin
0.0,,,,,,0.0,2.0,0.0,,,,2.0,2.0,,,2.0,,,,afternoon coffee
,,,,0.0,0.0,,,,0.0,,0.0,,,2.0,0.0,,,,,busy
,,,,,0.0,,,,,0.0,,,,,,,0.0,0.0,0.0,Slept well
,,0.0,,,0.0,,,,0.0,,0.0,,,2.0,0.0,,,,,tough half marathon
,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,2.0,0.0,,0.0,0.0,0.0,hiking
0.0,0.0,,,,,,2.0,0.0,,,,2.0,2.0,,,2.0,,,,allergy shot
2.0,2.0,,,,,2.0,,2.0,,,,0.0,0.0,,,0.0,,,,Ligament Restore
0.0,0.0,,,,,0.0,2.0,,,,,2.0,2.0,,,2.0,,,,large breakfast
,,0.0,,0.0,0.0,,,,,,0.0,,,2.0,0.0,,,,,ativan
,,,0.0,,0.0,,,,,,,,,,,,0.0,0.0,0.0,walked
,,0.0,,0.0,0.0,,,,0.0,,,,,2.0,0.0,,,,,exercise
2.0,2.0,,,,,2.0,0.0,2.0,,,,,0.0,,,0.0,,,,Vitamin C
2.0,2.0,,,,,2.0,0.0,2.0,,,,0.0,,,,0.0,,,,massage
,,2.0,,2.0,2.0,,,,2.0,,2.0,,,,2.0,,,,,no breakfast
,,0.0,,0.0,0.0,,,,0.0,,0.0,,,2.0,,,,,,mangos
2.0,2.0,,,,,2.0,0.0,2.0,,,,0.0,0.0,,,,,,,Amitriptyline
,,,0.0,,0.0,,,,,0.0,,,,,,,,0.0,0.0,ate breakfast
,,,0.0,,0.0,,,,,0.0,,,,,,,0.0,,0.0,11 hours of sleep
,,,0.0,,0.0,,,,,0.0,,,,,,,0.0,0.0,,kayaked yesterday
