Mersyndol Forte,Diazepam,Multivitamin,sugar free diet,Glucosamine,Sunlight,elliptical,L-methylfolate,Pristiq,Keppra,massage,Exercise--walking,Lexapro,Toprol,Ibuprofen,birth control,Meditation,Gabapentin,Cambia,Cleaning ,Aspirin,row
,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,2.0,,0.0,,2.0,2.0,0.0,0.0,0.0,Mersyndol Forte
0.0,,0.0,,1.11022302463e-16,0.0,0.0,2.22044604925e-16,1.11022302463e-16,2.22044604925e-16,3.33066907388e-16,2.0,2.0,,0.0720405679371,0.0,2.0,2.0,2.22044604925e-16,0.0,2.22044604925e-16,Diazepam
,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,2.0,,0.0,0.0,2.0,2.0,0.0,,0.0,Multivitamin
,,,,,,,,,,,,,,,,,,,,,sugar free diet
0.0,1.11022302463e-16,0.0,,,0.0,0.0,2.22044604925e-16,1.11022302463e-16,2.22044604925e-16,3.33066907388e-16,2.0,2.0,,0.0720405679371,0.0,2.0,2.0,2.22044604925e-16,0.0,2.22044604925e-16,Glucosamine
0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,2.0,2.0,,0.0,,2.0,2.0,0.0,0.0,0.0,Sunlight
,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,2.0,2.0,,0.0,0.0,2.0,2.0,0.0,,0.0,elliptical
0.0,2.22044604925e-16,0.0,,2.22044604925e-16,0.0,0.0,,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16,2.0,2.0,,0.0720405679371,0.0,2.0,2.0,2.22044604925e-16,0.0,2.22044604925e-16,L-methylfolate
0.0,1.11022302463e-16,0.0,,1.11022302463e-16,0.0,0.0,2.22044604925e-16,,2.22044604925e-16,3.33066907388e-16,2.0,2.0,,0.0720405679371,0.0,2.0,2.0,2.22044604925e-16,0.0,2.22044604925e-16,Pristiq
0.0,2.22044604925e-16,0.0,,2.22044604925e-16,0.0,0.0,2.22044604925e-16,2.22044604925e-16,,2.22044604925e-16,2.0,2.0,,0.0720405679371,0.0,2.0,2.0,2.22044604925e-16,0.0,2.22044604925e-16,Keppra
0.0,3.33066907388e-16,0.0,,3.33066907388e-16,0.0,0.0,2.22044604925e-16,3.33066907388e-16,2.22044604925e-16,,2.0,2.0,,0.0720405679371,0.0,2.0,2.0,3.33066907388e-16,0.0,2.22044604925e-16,massage
2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.22044604925e-16,,1.92795943206,2.0,0.0,2.22044604925e-16,2.0,2.0,2.0,Exercise--walking
2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.22044604925e-16,,,1.92795943206,2.0,1.11022302463e-16,1.11022302463e-16,2.0,2.0,2.0,Lexapro
,,,,,,,,,,,,,,,,,,,,,Toprol
0.0,0.0720405679371,0.0,,0.0720405679371,0.0,0.0,0.0720405679371,0.0720405679371,0.0720405679371,0.0720405679371,1.92795943206,1.92795943206,,,0.0,1.92795943206,1.92795943206,0.0720405679371,0.0,0.0720405679371,Ibuprofen
,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,2.0,,0.0,,2.0,2.0,0.0,,0.0,birth control
2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.11022302463e-16,,1.92795943206,2.0,,1.11022302463e-16,2.0,2.0,2.0,Meditation
2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.22044604925e-16,1.11022302463e-16,,1.92795943206,2.0,1.11022302463e-16,,2.0,2.0,2.0,Gabapentin
0.0,2.22044604925e-16,0.0,,2.22044604925e-16,0.0,0.0,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16,3.33066907388e-16,2.0,2.0,,0.0720405679371,0.0,2.0,2.0,,0.0,2.22044604925e-16,Cambia
0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,2.0,,0.0,,2.0,2.0,0.0,,0.0,Cleaning 
0.0,2.22044604925e-16,0.0,,2.22044604925e-16,0.0,0.0,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16,2.0,2.0,,0.0720405679371,0.0,2.0,2.0,2.22044604925e-16,0.0,,Aspirin
