Car travel,slept late,Flexeril,11K steps,grocery shopping,ate gluten,studied,Synthroid,Kayaking,fun shopping,shopped,15K steps,2K steps,took naps,Vitamin d,Amitriptyline,played video games,Metformin,8k steps,row
,,2.0,0.0,,0.0,,2.0,0.0,,,0.0,0.0,,2.0,2.0,,2.0,0.0,Car travel
,,2.0,,2.0,0.0,0.0,2.0,,2.0,2.0,,,0.0,2.0,2.0,2.0,2.0,,slept late
2.0,2.0,,2.0,0.0,1.97025152932,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,Flexeril
0.0,,2.0,,,0.0,,2.0,0.0,,,0.0,0.0,,2.0,2.0,,2.0,0.0,11K steps
,2.0,0.0,,,2.0,2.0,0.0,,0.0,0.0,,,2.0,0.0,0.0,0.0,0.0,,grocery shopping
0.0,0.0,1.97025152932,0.0,2.0,,0.0,1.97025152932,0.0,2.0,2.0,0.0,0.0,0.0,1.97025152932,1.97025152932,2.0,1.97025152932,0.0,ate gluten
,0.0,2.0,,2.0,0.0,,2.0,,2.0,2.0,,,0.0,2.0,2.0,2.0,2.0,,studied
2.0,2.0,0.0,2.0,0.0,1.97025152932,2.0,,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,Synthroid
0.0,,2.0,0.0,,0.0,,2.0,,,,0.0,0.0,,2.0,2.0,,2.0,0.0,Kayaking
,2.0,0.0,,0.0,2.0,2.0,0.0,,,0.0,,,2.0,0.0,0.0,0.0,0.0,,fun shopping
,2.0,0.0,,0.0,2.0,2.0,0.0,,0.0,,,,2.0,0.0,0.0,0.0,0.0,,shopped
0.0,,2.0,0.0,,0.0,,2.0,0.0,,,,0.0,,2.0,2.0,,2.0,0.0,15K steps
0.0,,2.0,0.0,,0.0,,2.0,0.0,,,0.0,,,2.0,2.0,,2.0,0.0,2K steps
,0.0,2.0,,2.0,0.0,0.0,2.0,,2.0,2.0,,,,2.0,2.0,2.0,2.0,,took naps
2.0,2.0,0.0,2.0,0.0,1.97025152932,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,,0.0,0.0,0.0,2.0,Vitamin d
2.0,2.0,0.0,2.0,0.0,1.97025152932,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,,0.0,0.0,2.0,Amitriptyline
,2.0,0.0,,0.0,2.0,2.0,0.0,,0.0,0.0,,,2.0,0.0,0.0,,0.0,,played video games
2.0,2.0,0.0,2.0,0.0,1.97025152932,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,,2.0,Metformin
0.0,,2.0,0.0,,0.0,,2.0,0.0,,,0.0,0.0,,2.0,2.0,,2.0,,8k steps
