Medications,Yoga,gluten free diet,physical therapy,Fluvoxamine,Selenium,Vyvanse,Lavender oil,0.9% Sodium Chloride Solution 1L,Burbur-Pinella,psychiatrists,Tavegyl,Amitriptyline,Love,mountain biking,Metformin,Exercise,Tyrosine,Benadryl,Cetirizine,Clonazepam,Nabumetone,Methylphenidate,Synthroid,Turmeric,N-acetyl cysteine,Dermatologist,Plaquenil,Hydroxychloroquine,Gabapentin,Magnesium malate,Green Vibrance,Topical ibuprofen,Ranitidine,Epsom Salts,Chiropractic,Vitamin d,Topiramate,Vitamin C,Voltaren,Medication,Magnesium,Midodrine,neuro,Calcium citrate,Gaba,Walking,Flexeril,dexamphetamine,Quell Unit,CuraMed,Sertraline,Thyroid-Pro,Cranberry extract,Ultrasound,Coenzyme q-10,Ibuprofen,Albuterol Inhaler,cocodamol,counselor,Inositol,Ropinirole
,0.0,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,0.0,,,0.0,,,0.0,,,,,,,,,0.0,,,,0.0,,
0.0,,2.0,0.0,2.0,,,,,,0.0,0.0,,0.0,0.0,,0.182266779092,2.0,,,,,2.0,,,,0.0,2.0,,,,,,,,0.0566342273529,0.0,2.0,,2.0,0.0,2.0,2.0,0.0,,,0.0,,,2.0,,,0.0,,0.0,0.0,,,,0.0,,2.0
,2.0,,,0.0,,,,,,,2.0,,2.0,2.0,,0.0,0.0,,,,,0.0,,,,,0.0,,,,,,,,2.0,,0.0,,0.0,,0.0,0.0,,,,,,,0.0,,,2.0,,2.0,,,,,,,0.0
0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,0.0,,,0.0,,,0.0,,,,,,,,,0.0,,,,0.0,,
,2.0,0.0,,,,,,,,,2.0,,2.0,2.0,,0.0,0.0,,,,,0.0,,,,,0.0,,,,,,,,2.0,,0.0,,0.0,,0.0,0.0,,,,,,,0.0,,,2.0,,2.0,,,,,,,0.0
,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,0.0,
,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,0.0,
