Womans balance,Pro Omega 2000 Fish Oil,Iodine,Greens First Powder,Chiropractic adjustment,B Complex,B12 drops,Coffee,Ginger,Folate,Vitamin C,anti-nausea pills,EnzymixPro,Klaire Ther-biotic,Ibuprofen,Progesterone,Magnesium glycinate,shoulder stretching,hip abduction,row
,2.0,0.0,2.0,0.0,0.0,2.0,,,2.0,0.0,,2.0,2.0,,0.0,2.0,,,Womans balance
2.0,,2.0,0.0,2.0,2.0,0.0,,,0.0,2.0,,0.0,0.0,,2.0,0.0,,,Pro Omega 2000 Fish Oil
0.0,2.0,,2.0,0.0,0.0,2.0,,,2.0,0.0,,2.0,2.0,,0.0,2.0,,,Iodine
2.0,0.0,2.0,,2.0,2.0,0.0,,,0.0,2.0,,0.0,0.0,,2.0,0.0,,,Greens First Powder
0.0,2.0,0.0,2.0,,0.0,2.0,,,2.0,0.0,,2.0,2.0,,0.0,2.0,,,Chiropractic adjustment
0.0,2.0,0.0,2.0,0.0,,2.0,,,2.0,0.0,,2.0,2.0,,0.0,2.0,,,B Complex
2.0,0.0,2.0,0.0,2.0,2.0,,,,0.0,2.0,,0.0,0.0,,2.0,0.0,,,B12 drops
,,,,,,,,,,,,,,0.0,,,,,Coffee
,,,,,,,,,,,,,,,,,,,Ginger
2.0,0.0,2.0,0.0,2.0,2.0,0.0,,,,2.0,,0.0,0.0,,2.0,0.0,,,Folate
0.0,2.0,0.0,2.0,0.0,0.0,2.0,,,2.0,,,2.0,2.0,,0.0,2.0,,,Vitamin C
,,,,,,,,,,,,,,,,,,,anti-nausea pills
2.0,0.0,2.0,0.0,2.0,2.0,0.0,,,0.0,2.0,,,0.0,,2.0,0.0,,,EnzymixPro
2.0,0.0,2.0,0.0,2.0,2.0,0.0,,,0.0,2.0,,0.0,,,2.0,0.0,,,Klaire Ther-biotic
,,,,,,,0.0,,,,,,,,,,,,Ibuprofen
0.0,2.0,0.0,2.0,0.0,0.0,2.0,,,2.0,0.0,,2.0,2.0,,,2.0,,,Progesterone
2.0,0.0,2.0,0.0,2.0,2.0,0.0,,,0.0,2.0,,0.0,0.0,,2.0,,,,Magnesium glycinate
,,,,,,,,,,,,,,,,,,,shoulder stretching
,,,,,,,,,,,,,,,,,,,hip abduction
