Ex bike,slept lots,Dehydrated,Slept,hot,A little stressed,vitamin c,Naproxen,Ambien CR,Amitriptyline,tumeric extract,milk,ate breakfast,Aspirin,lift x2,anti-diarrhea med,busy,family,spicy meal,smoothie,digestive enzyme,housework,day at home,washed and exfoliated my feet,had a 4 hour nap right after breakfast,Feverfew,Netflix day,snuggles,woke up late,holiday,fast food,Vitamin b complex,no lunch,coffee,had a bath,Probiotic,sitting,therapy session,Stretching,ate badly,TigerBalm,Cat,siracha,Steps,Slept extra,THC,Cambia,Swimming,grilled cheese,Allegra,did lots of cross stitch,Goth clubbing,home alone,Guarana & Ginseng,Fish oil,Chocolate after 6pm,Rest,daytime nap,12K Steps,Post-op ice device,cocodamol,Lexapro,Ritalin,No sleep,fresh food,Fentanyl,bacon,tumblr,spicy food,Socialising,slept 7 hours,Acetaminophen,eating out,laundry,Work hard,Hydrocortisone,ice cream,Solifenacin,Claritin,pilates,Strattera,Zofran,Hydroxyzine,Synthroid,12 hours sleep,meds,Carbomer eye drops,yogurt,exercise,long sleep,Superlong nap,Slept well,over ate,no exercise,Work,very active aqua class,Equilibrant,Vitamin C,listen to music ,grapes,5 or more portions of fruit and veg,exercised,Meditation,slept 8 hours!,Gabapentin,neck massage,Klonopin,slept in,severe pain,CBD,Surgical repair of injured shoulder ,ribs,Cymbalta,Ginger,flaxseed and fybogel,Cranberry extract,Vitamin b12,bed late,Vitamin d,Ice pack,massage,Diazepam,lifting things,hiking,Pedicure,physical therapy,went swimming,Social,L-methylfolate,Writing,8.5 hours sleep,had sex,Florinef,church,Acupuncture,sugar,singing,no sleep last night,9 hours sleep,sugar free diet,popcorn,BeachBody OnDemand,Ribose,Ate too late,ate legumes,ate pizza,Ibuprophen,dairy,slept 11 hours,CoQ10,Valium,depo-provera shot,rest day,ate well,sushi,shopping,gluten,SAM-E,gym,Cider,crafting,scary new shit,small breakfast,ramen,alverine,benadryl ,Glucosamine,Multivitamin,bunny cuddles,worked,heavy lifting,b12 spray,Tummy Tamers,canned vegetable beef soup,relaxed day,had sex last night,Cinema,stool softener,banana,shower,Allergy Shots,social gathering,Zinc,Ibuprofen,short sleep,Melatonin,took sleeping pill,10.5 hours sleep,Triamcinolone,Alcohol,Migraine Diet,allergy shot,Naltrexone,Cyclizine,cuddled kitten,Sunlight,slept not alone,birth control,breakfast,Magnesium glycinate,5-htp,Nasonex,spice,Darifenacin,yoga,chinese takeout,travel,Monteluklast,eye ointment,Daily walk,Ubiquinol,nap,rice noodles,Exercise--walking,8 hours sleep,elliptical,did some homework,Groceries,Famotidine,cream,Friends,Piyo,pizza,Cat ,Topical ibuprofen,slept long,Wore arch supports all day,strapping of shoulder,Cefaly Unit,eggs,Cerelle,Astelin,Daytime nap,mass transit,went to bed too late,Temazepam,heating pads,Norco,Lexam,slept in chair,heavy physcial exertion,Mebeverine,Keppra,Cetraben cream,Much sex,long shopping  trip,Singulair,Singing,cough syrup,8.75 hours sleep,walked,Montelukast,Took it easy,Sleep,Oxycodone,Passionflower,Resrticted diet,Took ibuprophen,Pristiq,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ex bike
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slept lots
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dehydrated
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slept
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hot
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A little stressed
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitamin c
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Naproxen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ambien CR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amitriptyline
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tumeric extract
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,milk
,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,-1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,-1.0,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,1.0,,,,,1.0,,,,ate breakfast
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aspirin
