Dicyclomine,Tretinoin,Superlong nap,Dancing,thanksgiving dinner,haircut,Writing,almonds,Amitriptyline,singing,Fexofenadine,busy,spinach,fuck yeah avocado,Clinda-derm,spinach risotto,Zolmitriptan,Therapy,normal sleep,Valerian,Cat ,Benadryl,cuddled kitten,sushi,Trigger Points,BLT,Buffered Salmon Oil - DHA - EPA,Quiet,SAD Light Box,Cat,Vitamin C,listen to music ,egg white dlite,bed day,slept in chair,heavy physcial exertion,Sisu B Calm,Gabapentin,doritos,sex,flaxseed and fybogel,Montelukast,rice noodles,chicken wild rice soup,Daytime nap,caesar salad,row
,2.0,2.0,,,,,,,,2.0,0.0,2.0,,2.0,,2.0,,2.0,2.0,,2.0,,,,,,,,,,0.0,,0.0,,,,0.0,,,,2.0,,,2.0,,Dicyclomine
2.0,,0.0,,,,,,,,0.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,,,,,,,,2.0,,2.0,,,,2.0,,,,0.0,,,0.0,,Tretinoin
2.0,0.0,,,,,,,,,0.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,,,,,,,,2.0,,2.0,,,,2.0,,,,0.0,,,0.0,,Superlong nap
,,,,,,,,,,,2.0,,2.0,,,,0.0,,,,,2.0,,0.0,,0.0,2.0,,,,,,,,,0.0,,,2.0,,,,,,,Dancing
,,,,,2.0,0.0,0.0,0.0,0.0,,,,,,2.0,,,,,0.0,,,0.0,,0.0,,,2.0,0.0,,,0.0,,2.0,,,,2.0,,0.0,,0.0,0.0,,0.0,thanksgiving dinner
,,,,2.0,,2.0,2.0,2.0,2.0,,,,,,0.0,,,,,2.0,,,2.0,,2.0,,,0.0,2.0,,,2.0,,0.0,,,,0.0,,2.0,,2.0,2.0,,2.0,haircut
,,,,0.0,2.0,,0.0,0.0,0.0,,,,,,2.0,,,,,0.0,,,0.0,,0.0,,,2.0,0.0,,,0.0,,2.0,,,,2.0,,0.0,,0.0,0.0,,0.0,Writing
,,,,0.0,2.0,0.0,,0.0,0.0,,,,,,2.0,,,,,0.0,,,0.0,,0.0,,,2.0,0.0,,,0.0,,2.0,,,,2.0,,0.0,,0.0,0.0,,0.0,almonds
,,,,0.0,2.0,0.0,0.0,,0.0,,,,,,2.0,,,,,0.0,,,0.0,,0.0,,,2.0,0.0,,,0.0,,2.0,,,,2.0,,0.0,,0.0,0.0,,0.0,Amitriptyline
,,,,0.0,2.0,0.0,0.0,0.0,,,,,,,2.0,,,,,0.0,,,0.0,,0.0,,,2.0,0.0,,,0.0,,2.0,,,,2.0,,0.0,,0.0,0.0,,0.0,singing
2.0,0.0,0.0,,,,,,,,,2.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,,,,,,,,2.0,,2.0,,,,2.0,,,,0.0,,,0.0,,Fexofenadine
