chicken wild rice soup,Phyical Therapy - stretches,Osteopathy,Ambien CR,tumeric extract,busy,excedrin migraine,sugar,Netflix day,normal sleep,Lazy day,Vitamin b complex,8 hours sleep,cuddled kitten,therapy session,siracha,THC,Allegra,Flexeril,Goth clubbing,home alone,shopping,Fish oil,Chocolate after 6pm,Rest,Soy Sauce,Zolmitriptan,Post-op ice device,Corticosteroids,Tretinoin,picnic,bed day,Fentanyl,bacon,drank wine,Butterbur,slept 7 hours,Claritin,Strattera,Relaxing,no sleep,skipped meals,Zofran,Clinda-derm,Hydroxyzine,Synthroid,12 hours sleep,lots of desk work,meds,Dexedrine,broken sleep,exercise,bubble and squeak roast,Superlong nap,Vitamin C,Vitamin B,listen to music ,ate salsa,Daytime nap,Gabapentin,Klonopin,Medication,severe pain,CBD,Zomig,flaxseed and fybogel,Vitamin b12,bed late,Vitamin d,Ice pack,Late lunch,no breakfast,hiking,buses,physical therapy,8.5 hours sleep,slept >12 hrs,acupuncture treatment,Acupuncture,ironing,Metformin,9 hours sleep,spinach,Went out on date,vacation,worked in garden,slept 11 hours,CoQ10,social gathering,Morphine,gluten,crafting,scary new shit,small breakfast,8.75 hours sleep,soy or tofu main dish eaten,Tranexamic acid,slimfast,Gardening,exercised,stool softener,not great sleep,banana,Allergy Shots,bbq,Zinc,Melatonin,soft drink,10.5 hours sleep,Dicyclomine,studied,Alcohol,allergy shot,slept 8 hours!,marijuana,Sunlight,Pantoprazole,birth control,Magnesium glycinate,5-htp,Nasonex,Fexofenadine,cooked breakfast,new environment,eye ointment,lift x2,Ubiquinol,Valerian,Achy breaky rub,did some homework,Famotidine,beach,Benadryl,Enada,laundry,strapping of shoulder,Codeine,Astelin,Progesterone,mass transit,heating pads,Norco,Adderall,popcorn,Singulair,Montelukast,thai food,bone broth,long walk,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chicken wild rice soup
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phyical Therapy - stretches
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osteopathy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ambien CR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tumeric extract
,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,,,1.0,,-1.0,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,-1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,busy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,excedrin migraine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sugar
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netflix day
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal sleep
