Ex bike,Women's probiotic,Zantac,tramadol,floravit iron,Naproxen,Ambien CR,Miralax low dose at night,Soluble Aspirin,pur-absorb iron,Daily walk,Vitamin D3,Prednisone,MDMA,Buspirone,Plaquenil,DLPA,Gravol,spice,Kirkland Fish Oil,Probiotic,Stretching,good nights sleep,ate badly,vegan,Physiotherapy,Steps,Magnesium,Panamax,Swimming,Guarana & Ginseng,Rest,physiotherapy,played computer,Nutrasea Fish Oil,electric wheelchair,cocodamol,powerlifting,Vitamin d,Valdoxan,Ritalin,Lying flat,Aleve,Prilosec,almonds,Solifenacin,Charcoal,pilates,Pataday,Citalopram,Zofran,Hydroxyzine,milk,Turmeric tea,Carbomer eye drops,dairy,Low-FODMAP diet,exercise,Standing desk,Inderal,Superlong nap,Vitamin C,Vitamin B,Vitamin B complex - 50,Probiotics,linseed,Magnesium citrate,ate well,Pain management,raspberries,Nortriptyline,Ginger,Vitamin b12,Daytime nap,Cerelle,Methotrexate,Diazepam,Norco,Contraceptive pill,More stretching,Vitamin a,Bu Zhong Yi Qi capsules,Vyvanse,new environment,had sex,chewing gum,Omeprazole,Magnesium gel,cobb salad,Creatine,Clonazepam,Ribose,Physio,alverine,Feverfew,Bicarb on scalp,Valium,depo-provera shot,Oxynorm,gluten,SAM-E,gym,Zoladex,Calcium,Celebrex,Multivitamin,Mirtazapine,heavy lifting,relaxed day,computer game,went swimming,Ibuprofen,Tylenol,Meditation,Wear shoulder brace,cutting weight,Migraine Diet,Inolaxol,Cyclizine,Provigil,Imodium,Lithium,Iberogast,Nasonex,Eyebright Complex,Darifenacin,yoga,Fluoxetine,travel,Ecural,Monteluklast,gluten free,spicy meal,housework,dairy free,cream,Protecting back,Ranitidine,Ventolin,Tian Ma Tou Tong - headache,Codeine,Progesterone,Spironolactone,Voltaren,Migraine herb feverfew tablets,heating pads,Iron,Lexam,Adderall,Ondansetron,Cetraben cream,Iodine,Freezie wrap,Ferrous sulfate,cough syrup,Wei Te Ling - heartburn,Sleep,Gui Pi Pills,Passionflower,drawing,Multi-vitamin,row
,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,0.0,,,,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,0.0,,,,,Ex bike
,,,2.0,2.0,,,,0.0,2.0,,,,2.0,0.0,,2.0,,,0.0,,,2.0,,2.0,,,2.0,2.0,,,,2.0,2.0,0.0,,,2.0,0.0,2.0,,,,,,,,,2.0,,2.0,,,2.0,,,,,,,2.0,0.0,2.0,2.0,,0.0,,,2.0,2.0,,,,,,,,,,,2.0,0.0,2.0,,2.0,,,0.0,2.0,,,,,,,,2.0,,,2.0,,,2.0,,,2.0,0.0,,,2.0,,2.0,,,,2.0,2.0,,,,,0.0,,2.0,2.0,,2.0,,,,,,,,,,,,2.0,2.0,2.0,2.0,0.0,0.0,,,2.0,,,2.0,,,,0.0,,2.0,,0.0,,,,Women's probiotic
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zantac
,2.0,,,0.0,,,,2.0,0.0,,,,0.0,2.0,,0.0,,,2.0,,,0.0,,0.0,,,0.0,0.0,,,,0.0,0.0,2.0,,,0.0,2.0,0.0,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,0.0,2.0,0.0,0.0,,2.0,,,0.0,0.0,,,,,,,,,,,0.0,2.0,0.0,,0.0,,,2.0,0.0,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,2.0,,,0.0,,0.0,,,,0.0,0.0,,,,,2.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,2.0,2.0,,,0.0,,,0.0,,,,2.0,,0.0,,2.0,,,,tramadol
,2.0,,0.0,,,,,2.0,0.0,,,,0.0,2.0,,0.0,,,2.0,,,0.0,,0.0,,,0.0,0.0,,,,0.0,0.0,2.0,,,0.0,2.0,0.0,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,0.0,2.0,0.0,0.0,,2.0,,,0.0,0.0,,,,,,,,,,,0.0,2.0,0.0,,0.0,,,2.0,0.0,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,2.0,,,0.0,,0.0,,,,0.0,0.0,,,,,2.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,2.0,2.0,,,0.0,,,0.0,,,,2.0,,0.0,,2.0,,,,floravit iron
2.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,2.0,,,,,Naproxen
,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,Ambien CR
,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,Miralax low dose at night
,0.0,,2.0,2.0,,,,,2.0,,,,2.0,0.0,,2.0,,,0.0,,,2.0,,2.0,,,2.0,2.0,,,,2.0,2.0,0.0,,,2.0,0.0,2.0,,,,,,,,,2.0,,2.0,,,2.0,,,,,,,2.0,0.0,2.0,2.0,,0.0,,,2.0,2.0,,,,,,,,,,,2.0,0.0,2.0,,2.0,,,0.0,2.0,,,,,,,,2.0,,,2.0,,,2.0,,,2.0,0.0,,,2.0,,2.0,,,,2.0,2.0,,,,,0.0,,2.0,2.0,,2.0,,,,,,,,,,,,2.0,2.0,2.0,2.0,0.0,0.0,,,2.0,,,2.0,,,,0.0,,2.0,,0.0,,,,Soluble Aspirin
,2.0,,0.0,0.0,,,,2.0,,,,,0.0,2.0,,0.0,,,2.0,,,0.0,,0.0,,,0.0,0.0,,,,0.0,0.0,2.0,,,0.0,2.0,0.0,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,0.0,2.0,0.0,0.0,,2.0,,,0.0,0.0,,,,,,,,,,,0.0,2.0,0.0,,0.0,,,2.0,0.0,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,2.0,,,0.0,,0.0,,,,0.0,0.0,,,,,2.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,2.0,2.0,,,0.0,,,0.0,,,,2.0,,0.0,,2.0,,,,pur-absorb iron
2.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,2.0,,,,,Daily walk
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,Vitamin D3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prednisone
,2.0,,0.0,0.0,,,,2.0,0.0,,,,,2.0,,0.0,,,2.0,,,0.0,,0.0,,,0.0,0.0,,,,0.0,0.0,2.0,,,0.0,2.0,0.0,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,0.0,2.0,0.0,0.0,,2.0,,,0.0,0.0,,,,,,,,,,,0.0,2.0,0.0,,0.0,,,2.0,0.0,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,2.0,,,0.0,,0.0,,,,0.0,0.0,,,,,2.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,2.0,2.0,,,0.0,,,0.0,,,,2.0,,0.0,,2.0,,,,MDMA
,0.0,,2.0,2.0,,,,0.0,2.0,,,,2.0,,,2.0,,,0.0,,,2.0,,2.0,,,2.0,2.0,,,,2.0,2.0,0.0,,,2.0,0.0,2.0,,,,,,,,,2.0,,2.0,,,2.0,,,,,,,2.0,0.0,2.0,2.0,,0.0,,,2.0,2.0,,,,,,,,,,,2.0,0.0,2.0,,2.0,,,0.0,2.0,,,,,,,,2.0,,,2.0,,,2.0,,,2.0,0.0,,,2.0,,2.0,,,,2.0,2.0,,,,,0.0,,2.0,2.0,,2.0,,,,,,,,,,,,2.0,2.0,2.0,2.0,0.0,0.0,,,2.0,,,2.0,,,,0.0,,2.0,,0.0,,,,Buspirone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,Plaquenil
,2.0,,0.0,0.0,,,,2.0,0.0,,,,0.0,2.0,,,,,2.0,,,0.0,,0.0,,,0.0,0.0,,,,0.0,0.0,2.0,,,0.0,2.0,0.0,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,0.0,2.0,0.0,0.0,,2.0,,,0.0,0.0,,,,,,,,,,,0.0,2.0,0.0,,0.0,,,2.0,0.0,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,2.0,,,0.0,,0.0,,,,0.0,0.0,,,,,2.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,2.0,2.0,,,0.0,,,0.0,,,,2.0,,0.0,,2.0,,,,DLPA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gravol
,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,spice
