Dicyclomine,Tretinoin,Phyical Therapy - stretches,Osteopathy,Butterbur,Pantoprazole,Metformin,Fexofenadine,Relaxing,Zolmitriptan,Clinda-derm,Ubiquinol,Valerian,Achy breaky rub,Benadryl,Enada,Progesterone,Vitamin B,Medication,Tranexamic acid,Gabapentin,Flexeril,excedrin migraine,Zomig,Montelukast,Vitamin d,Corticosteroids,row
,-1.0,,,,,,1.0,,-1.0,-1.0,,1.0,,1.0,,,,,,,,,,1.0,,,Dicyclomine
-1.0,,,,,,,-1.0,,1.0,1.0,,-1.0,,-1.0,,,,,,,,,,-1.0,,,Tretinoin
,,,,,,,,,,,,,,,,,,,,,,,,,,,Phyical Therapy - stretches
,,,,,,,,,,,,,,,,,,,,,,,,,,,Osteopathy
,,,,,,,,,,,,,,,,,,,,,,,,,,,Butterbur
,,,,,,,,,,,,,,,,,,,,,,,,,,,Pantoprazole
,,,,,,,,,,,,,,,,,,,,,,,,,,,Metformin
1.0,-1.0,,,,,,,,-1.0,-1.0,,1.0,,1.0,,,,,,,,,,1.0,,,Fexofenadine
,,,,,,,,,,,,,,,,,,,,,,,,,,,Relaxing
-1.0,1.0,,,,,,-1.0,,,1.0,,-1.0,,-1.0,,,,,,,,,,-1.0,,,Zolmitriptan
-1.0,1.0,,,,,,-1.0,,1.0,,,-1.0,,-1.0,,,,,,,,,,-1.0,,,Clinda-derm
,,,,,,,,,,,,,,,,,,,,,,,,,,,Ubiquinol
1.0,-1.0,,,,,,1.0,,-1.0,-1.0,,,,1.0,,,,,,,,,,1.0,,,Valerian
,,,,,,,,,,,,,,,,,,,,,,,,,,,Achy breaky rub
1.0,-1.0,,,,,,1.0,,-1.0,-1.0,,1.0,,,,,,,,,,,,1.0,,,Benadryl
,,,,,,,,,,,,,,,,,,,,,,,,,,,Enada
,,,,,,,,,,,,,,,,,,,,,,,,,,,Progesterone
,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamin B
,,,,,,,,,,,,,,,,,,,,,,,,,,,Medication
,,,,,,,,,,,,,,,,,,,,,,,,,,,Tranexamic acid
,,,,,,,,,,,,,,,,,,,,,,,,,,,Gabapentin
,,,,,,,,,,,,,,,,,,,,,,,,,,,Flexeril
,,,,,,,,,,,,,,,,,,,,,,,,,,,excedrin migraine
,,,,,,,,,,,,,,,,,,,,,,,,,,,Zomig
1.0,-1.0,,,,,,1.0,,-1.0,-1.0,,1.0,,1.0,,,,,,,,,,,,,Montelukast
,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamin d
,,,,,,,,,,,,,,,,,,,,,,,,,,,Corticosteroids
