hiking,danced,family,baked a cake,fast food,drank alcohol,Strattera,vacation,Dexedrine,Clarithromycin,worked out,holiday,exercise,toast and vegg,Superlong nap,butternut squash risotto,heating pads,Lamictal,worked,Car travel,Klonopin,slept in,new environment,Ate Terribly,row
,,,,,,,,,,,,,,,,,,,,,,,,hiking
,,,,,,,,,,,,,,,,,,,,,,,,danced
,,,,,,,,,,,,,,,,,,,,,,,,family
,,,,,,,,,,,,,,,,,,,,,,,,baked a cake
,,,,,,,,,,,,,,-1.0,,,,,,,,,,fast food
,,,,,,,,,,,,,,,,,,,,,,,,drank alcohol
,,,,,,,,,,,,,,,,,,,,,,,,Strattera
,,,,,,,,,,,,,,,,,,,,,,,,vacation
,,,,,,,,,,,,,,,,,,,,,,,,Dexedrine
,,,,,,,,,,,,,,,,,,,,,,,,Clarithromycin
,,,,,,,,,,,,,,,,,,,,,,,,worked out
,,,,,,,,,,,,,,,,,,,,,,,,holiday
,,,,,,,,,,,,,,,,,,,,,,,,exercise
,,,,,,,,,,,,,,,,,,,,,,,,toast and vegg
,,,,-1.0,,,,,,,,,,,,,,,,,,,,Superlong nap
,,,,,,,,,,,,,,,,,,,,,,,,butternut squash risotto
,,,,,,,,,,,,,,,,,,,,,,,,heating pads
,,,,,,,,,,,,,,,,,,,,,,,,Lamictal
,,,,,,,,,,,,,,,,,,,,,,,,worked
,,,,,,,,,,,,,,,,,,,,,,,,Car travel
,,,,,,,,,,,,,,,,,,,,,,,,Klonopin
,,,,,,,,,,,,,,,,,,,,,,,,slept in
,,,,,,,,,,,,,,,,,,,,,,,,new environment
,,,,,,,,,,,,,,,,,,,,,,,,Ate Terribly
