Vitamin d,AM meds,Yoga,Quell,MitoQ ,Oestrogel,Amitriptyline,Human Growth Hormone,Florinef,Zolpidem,Cycling,Aspirin,Fexofenadine,Omega-3 Capsules,Rowing machine,Ativan,excedrin migraine,Physio,had sex,pain relief,Venlafaxine,laxatives,Prontolax Supp,exercise,Benadryl,Wore arch supports all day,Ranitidine,Colpermin,Buffered Salmon Oil - DHA - EPA,Coffee,Recov Bipeptides,Headspace,breathing exercises,Gabapentine,Moringa,linseed,Midodrine,Anakinra,Tramadol,Boswelia Complex,Calcium citrate,Turmeric,Vitamin C,Cetirizine,Pain management,Noritriptyline,Nortriptyline,Ginger,banana,Hydrocortisone,anti-nausea pills,Athlete Vitamin,Standing desk,Ibuprofen,heating pads,Paracetamol,Albuterol Inhaler,Pantoprazole,row
,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,Vitamin d
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AM meds
,,,0.0,,,0.0,,,,0.0,,,,0.0,,0.0,0.0,,0.0,,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,2.0,2.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,,,,Yoga
,,0.0,,,,0.0,,,,0.0,,,,0.0,,0.0,0.0,,0.0,,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,2.0,2.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,,,,Quell
,,,,,0.0,,,,0.0,,,,0.0,,,,,2.0,,0.0,,0.0,2.0,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,2.0,,,,,,,,,0.0,MitoQ 
,,,,0.0,,,,,0.0,,,,0.0,,,,,2.0,,0.0,,0.0,2.0,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,2.0,,,,,,,,,0.0,Oestrogel
,,0.0,0.0,,,,,,,0.0,,,,0.0,,0.0,0.0,,0.0,,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,2.0,2.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,,,,Amitriptyline
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,Human Growth Hormone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Florinef
,,,,0.0,0.0,,,,,,,,0.0,,,,,2.0,,0.0,,0.0,2.0,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,2.0,,,,,,,,,0.0,Zolpidem
,,0.0,0.0,,,0.0,,,,,,,,0.0,,0.0,0.0,,0.0,,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,2.0,2.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,,,,Cycling
,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aspirin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,0.0,,,Fexofenadine
,,,,0.0,0.0,,,,0.0,,,,,,,,,2.0,,0.0,,0.0,2.0,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,2.0,,,,,,,,,0.0,Omega-3 Capsules
,,0.0,0.0,,,0.0,,,,0.0,,,,,,0.0,0.0,,0.0,,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,2.0,2.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,,,,Rowing machine
,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ativan
,,0.0,0.0,,,0.0,,,,0.0,,,,0.0,,,0.0,,0.0,,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,2.0,2.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,,,,excedrin migraine
,,0.0,0.0,,,0.0,,,,0.0,,,,0.0,,0.0,,,0.0,,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,2.0,2.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,,,,Physio
,,,,2.0,2.0,,,,2.0,,,,2.0,,,,,,,2.0,,2.0,0.0,,,,,,,,,,2.0,,,,,,,,,,,,,2.0,,0.0,,,,,,,,,2.0,had sex
,,0.0,0.0,,,0.0,,,,0.0,,,,0.0,,0.0,0.0,,,,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,2.0,2.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,,,,pain relief
,,,,0.0,0.0,,,,0.0,,,,0.0,,,,,2.0,,,,0.0,2.0,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,2.0,,,,,,,,,0.0,Venlafaxine
,,0.0,0.0,,,0.0,,,,0.0,,,,0.0,,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,2.0,2.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,,,,laxatives
,,,,0.0,0.0,,,,0.0,,,,0.0,,,,,2.0,,0.0,,,2.0,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,2.0,,,,,,,,,0.0,Prontolax Supp
,,,,2.0,2.0,,,,2.0,,,,2.0,,,,,0.0,,2.0,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,2.0,,0.0,,,,,,,,,2.0,exercise
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,Benadryl
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,0.0,,,,,,,,,,,,,,,,,,,,,,Wore arch supports all day
0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,Ranitidine
,,0.0,0.0,,,0.0,,,,0.0,,,,0.0,,0.0,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,0.0,0.0,,,0.0,,,2.0,2.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,,,,Colpermin
,,0.0,0.0,,,0.0,,,,0.0,,,,0.0,,0.0,0.0,,0.0,,0.0,,,,,,0.0,,,0.0,0.0,0.0,,,0.0,,,2.0,2.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,,,,Buffered Salmon Oil - DHA - EPA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00642570194201,,,,,Coffee
,,0.0,0.0,,,0.0,,,,0.0,,,,0.0,,0.0,0.0,,0.0,,0.0,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,,,2.0,2.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,,,,Recov Bipeptides
,,0.0,0.0,,,0.0,,,,0.0,,,,0.0,,0.0,0.0,,0.0,,0.0,,,,,,0.0,0.0,,0.0,,0.0,,,0.0,,,2.0,2.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,,,,Headspace
,,0.0,0.0,,,0.0,,,,0.0,,,,0.0,,0.0,0.0,,0.0,,0.0,,,,,,0.0,0.0,,0.0,0.0,,,,0.0,,,2.0,2.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,,,,breathing exercises
,,,,0.0,0.0,,,,0.0,,,,0.0,,,,,2.0,,0.0,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,2.0,,,,,,,,,0.0,Gabapentine
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,Moringa
,,0.0,0.0,,,0.0,,,,0.0,,,,0.0,,0.0,0.0,,0.0,,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,2.0,2.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,,,,linseed
,,,,,,,2.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,Midodrine
,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,Anakinra
,,2.0,2.0,,,2.0,,,,2.0,,,,2.0,,2.0,2.0,,2.0,,2.0,,,,,,2.0,2.0,,2.0,2.0,2.0,,,2.0,,,,0.0,,,,,2.0,2.0,2.0,,,,,2.0,2.0,,2.0,,,,Tramadol
,,2.0,2.0,,,2.0,,,,2.0,,,,2.0,,2.0,2.0,,2.0,,2.0,,,,,,2.0,2.0,,2.0,2.0,2.0,,,2.0,,,0.0,,,,,,2.0,2.0,2.0,,,,,2.0,2.0,,2.0,,,,Boswelia Complex
0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,Calcium citrate
0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,0.0,,Turmeric
0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,0.0,,Vitamin C
0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,Cetirizine
,,0.0,0.0,,,0.0,,,,0.0,,,,0.0,,0.0,0.0,,0.0,,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,2.0,2.0,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,,,,Pain management
,,0.0,0.0,,,0.0,,,,0.0,,,,0.0,,0.0,0.0,,0.0,,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,2.0,2.0,,,,,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,Noritriptyline
,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,2.0,2.0,,,,,0.0,0.0,,,2.0,,,0.0,0.0,,0.0,,,0.0,Nortriptyline
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ginger
,,,,2.0,2.0,,,,2.0,,,,2.0,,,,,0.0,,2.0,,2.0,0.0,,,,,,,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,banana
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hydrocortisone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anti-nausea pills
,,0.0,0.0,,,0.0,,,,0.0,,,,0.0,,0.0,0.0,,0.0,,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,2.0,2.0,,,,,0.0,0.0,0.0,,,,,,0.0,,0.0,,,,Athlete Vitamin
