Pataday,Yin Chiao,Quell Unit,Wei Zhang Shun Qi Wan,Thyroid-Pro,Tian Ma Tou Tong - headache,Gan Mao Qing anti-viral,Progesterone,Daily walk,floravit iron,Magnesium,Ibuprofen,Vitamin d,Ondansetron,Turmeric,Cleaning ,Mirtazapine,row
,0.0,,2.0,,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,Pataday
0.0,,,2.0,,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,Yin Chiao
,,,,,,,,,,,,,,,,,Quell Unit
2.0,2.0,,,,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,Wei Zhang Shun Qi Wan
,,,,,,,,,,,,,,,,,Thyroid-Pro
0.0,0.0,,2.0,,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,Tian Ma Tou Tong - headache
0.0,0.0,,2.0,,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,Gan Mao Qing anti-viral
0.0,0.0,,2.0,,0.0,0.0,,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,Progesterone
2.0,2.0,,0.0,,2.0,2.0,2.0,,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,Daily walk
2.0,2.0,,0.0,,2.0,2.0,2.0,0.0,,2.0,2.0,2.0,2.0,0.0,2.0,0.0,floravit iron
0.0,0.0,,2.0,,0.0,0.0,0.0,2.0,2.0,,0.0,0.0,0.0,2.0,0.0,2.0,Magnesium
0.0,0.0,,2.0,,0.0,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,2.0,0.0,2.0,Ibuprofen
0.0,0.0,,2.0,,0.0,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,2.0,0.0,2.0,Vitamin d
0.0,0.0,,2.0,,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,2.0,0.0,2.0,Ondansetron
2.0,2.0,,0.0,,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,0.0,Turmeric
0.0,0.0,,2.0,,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,,2.0,Cleaning 
2.0,2.0,,0.0,,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,,Mirtazapine
