Dancing,Echinacea,sex,Acetaminophen,fuck yeah avocado,busy,B12 timed release,Folic acid,lots of desk work,housework,Therapy,Biotin,cuddled kitten,Trigger Points,Buffered Salmon Oil - DHA - EPA,Quiet,Calcium citrate,Sisu B Calm,WomenSense AdrenaSense Adrenal Formula,Cetirizine,Vitamin d,AOR Zinc-Copper Balance,Curcumin,row
,,0.0,,0.0,0.0,,,,,2.0,,2.0,0.0,,0.0,,0.0,,,,,,Dancing
,,,0.0,,,0.0,0.0,2.0,2.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Echinacea
0.0,,,,0.0,0.0,,,,,2.0,,2.0,0.0,,0.0,,0.0,,,,,,sex
,0.0,,,,,0.0,0.0,2.0,2.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Acetaminophen
0.0,,0.0,,,0.0,,,,,2.0,,2.0,0.0,,0.0,,0.0,,,,,,fuck yeah avocado
0.0,,0.0,,0.0,,,,,,2.0,,2.0,0.0,,0.0,,0.0,,,,,,busy
,0.0,,0.0,,,,0.0,2.0,2.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B12 timed release
,0.0,,0.0,,,0.0,,2.0,2.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Folic acid
,2.0,,2.0,,,2.0,2.0,,0.0,,2.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,lots of desk work
,2.0,,2.0,,,2.0,2.0,0.0,,,2.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,housework
2.0,,2.0,,2.0,2.0,,,,,,,0.0,2.0,,2.0,,2.0,,,,,,Therapy
,0.0,,0.0,,,0.0,0.0,2.0,2.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Biotin
2.0,,2.0,,2.0,2.0,,,,,0.0,,,2.0,,2.0,,2.0,,,,,,cuddled kitten
0.0,,0.0,,0.0,0.0,,,,,2.0,,2.0,,,0.0,,0.0,,,,,,Trigger Points
,0.0,,0.0,,,0.0,0.0,2.0,2.0,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Buffered Salmon Oil - DHA - EPA
0.0,,0.0,,0.0,0.0,,,,,2.0,,2.0,0.0,,,,0.0,,,,,,Quiet
,0.0,,0.0,,,0.0,0.0,2.0,2.0,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,Calcium citrate
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,Sisu B Calm
,0.0,,0.0,,,0.0,0.0,2.0,2.0,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,WomenSense AdrenaSense Adrenal Formula
,0.0,,0.0,,,0.0,0.0,2.0,2.0,,0.0,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,Cetirizine
,0.0,,0.0,,,0.0,0.0,2.0,2.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,Vitamin d
,0.0,,0.0,,,0.0,0.0,2.0,2.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,AOR Zinc-Copper Balance
,0.0,,0.0,,,0.0,0.0,2.0,2.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,Curcumin
