Vitamins,Meticorten,brushed dogs,Calcort,Coffee,yoga,Medical Marijuana,cooking,walked the dogs,Weather- rain,Friends,Ketotifeno,Aloe Detox Water,Bagomicina,House cleaning,Wellbutrin,Allegra,Gardening,Singulair,Montelukast,Groceries,Meditation,Trip,row
,,,,0.0,,0.0,,,0.0,,,0.0,,,,,,,,,0.0,,Vitamins
,,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,,0.0,Meticorten
,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,,0.0,brushed dogs
,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,,0.0,Calcort
0.0,,,,,,0.0,,,0.0,,,0.0,,,,,,,,,0.0,,Coffee
,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,,0.0,yoga
0.0,,,,0.0,,,,,0.0,,,0.0,,,,,,,,,0.0,,Medical Marijuana
,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,,0.0,cooking
,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,,0.0,walked the dogs
0.0,,,,0.0,,0.0,,,,,,0.0,,,,,,,,,0.0,,Weather- rain
,0.0,0.0,0.0,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,,0.0,Friends
,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,,0.0,Ketotifeno
0.0,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,0.0,,Aloe Detox Water
,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,,,0.0,2.0,0.0,0.0,0.0,2.0,0.0,,0.0,Bagomicina
,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,2.0,0.0,0.0,0.0,2.0,0.0,,0.0,House cleaning
,2.0,2.0,2.0,,2.0,,2.0,2.0,,2.0,2.0,,2.0,2.0,,2.0,2.0,2.0,0.0,2.0,,2.0,Wellbutrin
,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,,0.0,0.0,2.0,0.0,,0.0,Allegra
,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,,0.0,2.0,0.0,,0.0,Gardening
,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,,2.0,0.0,,0.0,Singulair
,2.0,2.0,2.0,,2.0,,2.0,2.0,,2.0,2.0,,2.0,2.0,0.0,2.0,2.0,2.0,,2.0,,2.0,Montelukast
,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,2.0,,,0.0,Groceries
0.0,,,,0.0,,0.0,,,0.0,,,0.0,,,,,,,,,,,Meditation
,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,,,Trip
