Triamcinolone Lotion,Humira,Bentyl,Prednisone,Hemorrhoid Cream,Flonase,Calcium citrate,Vitamin C,Iron,Vitamin d,Inflamma-blox,Sauna,Triamcinolone Cream,row
,2.0,,2.0,2.0,0.0,,0.0,2.0,,0.0,2.0,2.0,Triamcinolone Lotion
2.0,,,0.0,0.0,2.0,,2.0,0.0,,2.0,0.0,0.0,Humira
,,,,,,0.0,,,0.0,,,,Bentyl
2.0,0.0,,,0.0,2.0,,2.0,0.0,,2.0,0.0,0.0,Prednisone
2.0,0.0,,0.0,,2.0,,2.0,0.0,,2.0,0.0,0.0,Hemorrhoid Cream
0.0,2.0,,2.0,2.0,,,0.0,2.0,,0.0,2.0,2.0,Flonase
,,0.0,,,,,,,0.0,,,,Calcium citrate
0.0,2.0,,2.0,2.0,0.0,,,2.0,,0.0,2.0,2.0,Vitamin C
2.0,0.0,,0.0,0.0,2.0,,2.0,,,2.0,0.0,0.0,Iron
,,0.0,,,,0.0,,,,,,,Vitamin d
0.0,2.0,,2.0,2.0,0.0,,0.0,2.0,,,2.0,2.0,Inflamma-blox
2.0,0.0,,0.0,0.0,2.0,,2.0,0.0,,2.0,,0.0,Sauna
2.0,0.0,,0.0,0.0,2.0,,2.0,0.0,,2.0,0.0,,Triamcinolone Cream
