flu vaccine injection,Cetirizine hydrochloride,Vitamins,Candesartan,exercise - dancing,Support worker assistance,Phentermine,Acetaminophen,Curcumin,catheter,5-htp,row
,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,2.0,flu vaccine injection
0.0,,0.0,,0.0,0.0,,0.0,0.0,2.0,2.0,Cetirizine hydrochloride
0.0,0.0,,,0.0,0.0,,0.0,0.0,2.0,2.0,Vitamins
,,,,,,0.0,,,,,Candesartan
0.0,0.0,0.0,,,0.0,,0.0,0.0,2.0,2.0,exercise - dancing
0.0,0.0,0.0,,0.0,,,0.0,0.0,2.0,2.0,Support worker assistance
,,,0.0,,,,,,,,Phentermine
0.0,0.0,0.0,,0.0,0.0,,,0.0,2.0,2.0,Acetaminophen
0.0,0.0,0.0,,0.0,0.0,,0.0,,2.0,2.0,Curcumin
2.0,2.0,2.0,,2.0,2.0,,2.0,2.0,,0.0,catheter
2.0,2.0,2.0,,2.0,2.0,,2.0,2.0,0.0,,5-htp
