rest day,ate potato,hiking,Swam,Aleve,Fentanyl,Provigil,shopped,had sex,slept 7 hours,Dogs,ate breakfast,no caffeine,afternoon coffee,ate cooked nightshades,Good breakfast,no sleep,travel,sitting,Infection,Plaquenil,ate rice,dairy,ate peppers,holiday,slept late,exercise,Off work,Superlong nap,gluten,ate eggs,Cefaly Unit,Work,>50 oz water,Daytime nap,light breakfast,listen to music ,green tea,no breakfast,Adderall,worked,Mebeverine,day at home,Heathen ritual,Bad diet,Quell Unit,Thyroid-Pro,Cymbalta,Coffee with sugar and cream,drive,walked,drank wine,ate potato chips,Oxycodone,short sleep,juiced veggies,row
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,rest day
,,,,2.0,,0.0,,,,,,2.0,2.0,2.0,,,,,,0.0,,,0.0,,,,,,,2.0,,,2.0,,2.0,,2.0,,0.0,,,,,,,,,,2.0,,2.0,2.0,,,,ate potato
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hiking
,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,Swam
,2.0,,,,,2.0,,,,,,0.0,0.0,0.0,,,,,,2.0,,,2.0,,,,,,,0.0,,,0.0,,0.0,,0.0,,2.0,,,,,,,,,,0.0,,0.0,0.0,,,,Aleve
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fentanyl
,0.0,,,2.0,,,,,,,,2.0,2.0,2.0,,,,,,0.0,,,0.0,,,,,,,2.0,,,2.0,,2.0,,2.0,,2.22044604925e-16,,,,,,,,,,2.0,,2.0,2.0,,,,Provigil
,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,shopped
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,had sex
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,slept 7 hours
,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,,0.0,,,,,,Dogs
,,,0.0,,,,0.0,,,2.0,,,,,,0.0,0.0,,,,,0.0,,,,0.267561146052,,,0.00772212328633,,,0.0,,0.0,,0.0,,0.0,,,0.230616442658,,,,,,0.230616442658,0.0,,2.0,,,,0.0,0.0,ate breakfast
,2.0,,,0.0,,2.0,,,,,,,0.0,0.0,,,,,,2.0,,,2.0,,,,,,,0.0,,,0.0,,0.0,,0.0,,2.0,,,,,,,,,,0.0,,0.0,0.0,,,,no caffeine
,2.0,,,0.0,,2.0,,,,,,0.0,,0.0,,,,,,2.0,,,2.0,,,,,,,0.0,,,0.0,,0.0,,0.0,,2.0,,,,,,,,,,0.0,,0.0,0.0,,,,afternoon coffee
,2.0,,,0.0,,2.0,,,,,,0.0,0.0,,,,,,,2.0,,,2.0,,,,,,,0.0,,,0.0,,0.0,,0.0,,2.0,,,,,,,,,,0.0,,0.0,0.0,,,,ate cooked nightshades
,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,Good breakfast
,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,no sleep
,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,travel
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sitting
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Infection
,0.0,,,2.0,,0.0,,,,,,2.0,2.0,2.0,,,,,,,,,0.0,,,,,,,2.0,,,2.0,,2.0,,2.0,,2.22044604925e-16,,,,,,,,,,2.0,,2.0,2.0,,,,Plaquenil
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,ate rice
,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,2.0,,,,,,dairy
,0.0,,,2.0,,0.0,,,,,,2.0,2.0,2.0,,,,,,0.0,,,,,,,,,,2.0,,,2.0,,2.0,,2.0,,0.0,,,,,,,,,,2.0,,2.0,2.0,,,,ate peppers
,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,holiday
,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,slept late
,,,,,,,0.0,,,2.0,0.267561146052,,,,,0.0,,,,,,0.0,,,,,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,0.0,,2.0,,,,,,exercise
0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,Off work
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Superlong nap
,,,0.0,,,,,,,,0.00772212328633,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,gluten
,2.0,,,0.0,,2.0,,,,,,0.0,0.0,0.0,,,,,,2.0,,,2.0,,,,,,,,,,0.0,,0.0,,0.0,,2.0,,,,,,,,,,0.0,,0.0,0.0,,,,ate eggs
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cefaly Unit
,,,,,,,0.0,,,,0.0,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,Work
,2.0,,,0.0,,2.0,,,,,,0.0,0.0,0.0,,,,,,2.0,,,2.0,,,,,,,0.0,,,,,0.0,,0.0,,2.0,,,,,,,,,,0.0,,0.0,0.0,,,,>50 oz water
,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,Daytime nap
,2.0,,,0.0,,2.0,,,,,,0.0,0.0,0.0,,,,,,2.0,,,2.0,,,,,,,0.0,,,0.0,,,,0.0,,2.0,,,,,,,,,,0.0,,0.0,0.0,,,,light breakfast
,,,,,,,,,,2.0,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,listen to music 
,2.0,,,0.0,,2.0,,,,,,0.0,0.0,0.0,,,,,,2.0,,,2.0,,,,,,,0.0,,,0.0,,0.0,,,,2.0,,,,,,,,,,0.0,,0.0,0.0,,,,green tea
,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,no breakfast
,0.0,,,2.0,,2.22044604925e-16,,,,,,2.0,2.0,2.0,,,,,,2.22044604925e-16,,,0.0,,,,,,,2.0,,,2.0,,2.0,,2.0,,,,,,,,,,,,2.0,,2.0,2.0,,,,Adderall
,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,worked
,,,,,,,,,,,0.230616442658,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,-4.4408920985e-16,,,,,,,0.0,,Mebeverine
,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,day at home
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,Heathen ritual
0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,Bad diet
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quell Unit
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thyroid-Pro
,,,,,,,,,,,0.230616442658,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,-4.4408920985e-16,,,,,,,,,,,,,0.0,,Cymbalta
,,,,,,,0.0,,,,0.0,,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,Coffee with sugar and cream
,2.0,,,0.0,,2.0,,,,,,0.0,0.0,0.0,,,,,,2.0,,,2.0,,,,,,,0.0,,,0.0,,0.0,,0.0,,2.0,,,,,,,,,,,,0.0,0.0,,,,drive
0.0,,,,,,,,0.0,,0.0,2.0,,,,0.0,,,,,,0.0,2.0,,0.0,0.0,2.0,0.0,,,,,,,,,2.0,,,,0.0,,,0.0,0.0,,,,,,,,,,,,walked
,2.0,,,0.0,,2.0,,,,,,0.0,0.0,0.0,,,,,,2.0,,,2.0,,,,,,,0.0,,,0.0,,0.0,,0.0,,2.0,,,,,,,,,,0.0,,,0.0,,,,drank wine
,2.0,,,0.0,,2.0,,,,,,0.0,0.0,0.0,,,,,,2.0,,,2.0,,,,,,,0.0,,,0.0,,0.0,,0.0,,2.0,,,,,,,,,,0.0,,0.0,,,,,ate potato chips
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oxycodone
