Car travel,Off work,hiking,slept in,danced,Strattera,family,Superlong nap,baked a cake,had sex,Ate Terribly,Clarithromycin,fast food,drank alcohol,worked,holiday,ate breakfast,worked out,exercise,Dexedrine,row
,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,Car travel
,,0.0,,,,,,,2.0,,,,,,,2.0,,,,Off work
,0.0,,,,,,,,2.0,,,,,,,2.0,,,,hiking
0.0,,,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,slept in
0.0,,,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,danced
,,,,,,,,,,,,,,,,,,,,Strattera
0.0,,,0.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,family
0.0,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,Superlong nap
0.0,,,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,baked a cake
,2.0,2.0,,,,,,,,,,,,,,0.0,,,,had sex
0.0,,,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,Ate Terribly
,,,,,,,,,,,,,,,,,,,,Clarithromycin
0.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,fast food
0.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,drank alcohol
0.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,worked
0.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0,0.0,,holiday
,2.0,2.0,,,,,,,0.0,,,,,,,,,,,ate breakfast
0.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,0.0,,worked out
0.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,exercise
,,,,,,,,,,,,,,,,,,,,Dexedrine
