Dicyclomine,Tretinoin,Toprol,Ventolin,Coffee,Vitamin D3,Clinda-derm,Zolmitriptan,Valerian,Benadryl,Topamax,Fexofenadine,Magnesium citrate,Calcium,Ropinirole,Gabapentin,Allegra,Iodine,Quell Unit,Thyroid-Pro,Tizanidine,Montelukast,Vitamin b12,Ibuprofen,electric wheelchair,row
,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,0.0,,,,Dicyclomine
0.0,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,0.0,,,,Tretinoin
,,,,,,,,,,,,,,,,,,,,,,,,,Toprol
,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,Ventolin
,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,0.0,,0.0,Vitamin D3
0.0,0.0,,,,,,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,0.0,,,,Clinda-derm
0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,,0.0,,,,Zolmitriptan
0.0,0.0,,,,,0.0,0.0,,0.0,,0.0,,,,0.0,,,,,,0.0,,,,Valerian
0.0,0.0,,,,,0.0,0.0,0.0,,,0.0,,,,0.0,,,,,,0.0,,,,Benadryl
,,,,,,,,,,,,,,,,,,,,,,,,,Topamax
0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,0.0,,,,Fexofenadine
,,,,,0.0,,,,,,,,0.0,,,,0.0,,,,,0.0,,0.0,Magnesium citrate
,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,,0.0,,0.0,Calcium
,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,Ropinirole
0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0,,,,Gabapentin
,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,Allegra
,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,,0.0,,0.0,Iodine
,,,,,,,,,,,,,,,,,,,,,,,,,Quell Unit
,,,,,,,,,,,,,,,,,,,,,,,,,Thyroid-Pro
,,,,,,,,,,,,,,,,,,,,,,,,,Tizanidine
0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,Montelukast
,,,,,0.0,,,,,,,0.0,0.0,,,,0.0,,,,,,,0.0,Vitamin b12
,,,,,,,,,,,,,,,,,,,,,,,,,Ibuprofen
,,,,,0.0,,,,,,,0.0,0.0,,,,0.0,,,,,0.0,,,electric wheelchair
