Vitamins,Echinacea,exercise - dancing,Acetaminophen,5-htp,Peristeen,Daytime sleep,Cetirizine hydrochloride,Biotin,elliptical,Tetralabs Gold Caps,flu vaccine injection,Mt. Si ACDC 2x Coco Caps,Zolpidem ER,Cefaly Unit,Calcium citrate,Nycopro Probiotic,Support worker assistance,catheter,Folic acid,Flexeril,Cetirizine,CrossFit,Vitamin d,Curcumin,row
,,,,0.0,,,0.0,,,,0.0,,,,,,0.0,,,,,,,0.0,Vitamins
,,,,,,,,,,,,,,,,,,,,,,,,,Echinacea
,,,,,,,,,,,,,,,,,,,,,,,,,exercise - dancing
,,,,,,,,,,,,,,,,,,,,,,,,,Acetaminophen
0.0,,,,,,,0.0,,,,0.0,,,,,,0.0,,,,,,,0.0,5-htp
,,,,,,,,,,,,,,,,,,,,,,,,,Peristeen
,,,,,,,,,,,,,,,,,,,,,,,,,Daytime sleep
0.0,,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,0.0,Cetirizine hydrochloride
,,,,,,,,,,,,,,,,,,,,,,,,,Biotin
,,,,,,,,,,,,,,,,,,,,,,,,,elliptical
,,,,,,,,,,,,,,,,,,,,,,,,,Tetralabs Gold Caps
0.0,,,,0.0,,,0.0,,,,,,,,,,0.0,,,,,,,0.0,flu vaccine injection
,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,Mt. Si ACDC 2x Coco Caps
,,,,,,,,,,,,,,,,,,,,,,,,,Zolpidem ER
,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,Cefaly Unit
,,,,,,,,,,,,,,,,,,,,,,,,,Calcium citrate
,,,,,,,,,,,,,,,,,,,,,,,,,Nycopro Probiotic
0.0,,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,0.0,Support worker assistance
,,,,,,,,,,,,,,,,,,,,,,,,,catheter
,,,,,,,,,,,,,,,,,,,,,,,,,Folic acid
,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,Flexeril
,,,,,,,,,,,,,,,,,,,,,,,,,Cetirizine
,,,,,,,,,,,,,,,,,,,,,,,,,CrossFit
,,,,,,,,,,,,,,,,,,,,,,,,,Vitamin d
0.0,,,,0.0,,,0.0,,,,0.0,,,,,,0.0,,,,,,,,Curcumin
