Albuterol,Yoga,Zyrtec,gluten free diet,Levothyroxine,Caffeine,Vicodin,Miralax low dose at night,Viibryd,Exercise,Bactrim,Prednisone,Fluoxetine,Armodafinil,gluten free,Ginkgo,Protecting back,Cefaly Unit,Seasonique,Meditation,Essential oils,eye compress,Metoprolol,THC,cocodamol,pool,Maxalt,Zomig,Montelukast,Lidocaine Patch,Cane to get down stairs,Cabergoline,Ibuprofen,Paracetamol,massage,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Albuterol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yoga
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zyrtec
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gluten free diet
,,,,,1.0,,,1.0,,,,-1.0,-1.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,Levothyroxine
,,,,1.0,,,,1.0,,,,-1.0,-1.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,Caffeine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vicodin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miralax low dose at night
,,,,1.0,1.0,,,,,,,-1.0,-1.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,Viibryd
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exercise
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bactrim
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prednisone
,,,,-1.0,-1.0,,,-1.0,,,,,1.0,,,,,,-1.0,,,,,,,,,,,,-1.0,,,,Fluoxetine
,,,,-1.0,-1.0,,,-1.0,,,,1.0,,,,,,,-1.0,,,,,,,,,,,,-1.0,,,,Armodafinil
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gluten free
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ginkgo
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Protecting back
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cefaly Unit
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seasonique
,,,,1.0,1.0,,,1.0,,,,-1.0,-1.0,,,,,,,,,,,,,,,,,,1.0,,,,Meditation
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Essential oils
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eye compress
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metoprolol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cocodamol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pool
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maxalt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zomig
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Montelukast
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lidocaine Patch
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cane to get down stairs
,,,,1.0,1.0,,,1.0,,,,-1.0,-1.0,,,,,,1.0,,,,,,,,,,,,,,,,Cabergoline
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ibuprofen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paracetamol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,massage
