Benadryl,Iodine,Strattera,Probiotic Gummy,Hit 10k Steps,ZMA,Caffeine,N-acetyl cysteine,Dexedrine,Clarithromycin,Vitamin d,Vitamin Gummies,fiber art - sewing,row
,,2.0,0.0,0.0,2.0,,0.0,2.0,2.0,,,,Benadryl
,,,,,,0.0,,,,0.0,,0.0,Iodine
2.0,,,2.0,2.0,0.0,,2.0,0.0,0.0,,,,Strattera
0.0,,2.0,,0.0,2.0,,0.0,2.0,2.0,,,,Probiotic Gummy
0.0,,2.0,0.0,,2.0,,0.0,2.0,2.0,,,,Hit 10k Steps
2.0,,0.0,2.0,2.0,,,2.0,0.0,0.0,,,,ZMA
,0.0,,,,,,,,,0.0,,0.0,Caffeine
0.0,,2.0,0.0,0.0,2.0,,,2.0,2.0,,,,N-acetyl cysteine
2.0,,0.0,2.0,2.0,0.0,,2.0,,0.0,,,,Dexedrine
2.0,,0.0,2.0,2.0,0.0,,2.0,0.0,,,,,Clarithromycin
,0.0,,,,,0.0,,,,,,0.0,Vitamin d
,,,,,,,,,,,,,Vitamin Gummies
,0.0,,,,,0.0,,,,0.0,,,fiber art - sewing
