Diazepam,Vitamins,physical therapy,L-methylfolate,Sunlight,exercise - dancing,Acetaminophen,5-htp,Peristeen,Daytime sleep,Cetirizine hydrochloride,Cambia,Exercise--walking,Biotin,elliptical,Aspirin,flu vaccine injection,Vitamin d,Calcium citrate,Nycopro Probiotic,Support worker assistance,Echinacea,Glucosamine,Curcumin,catheter,Folic acid,Keppra,Cleaning ,Gabapentin,Mersyndol Forte,Cetirizine,CrossFit,Lexapro,Ibuprofen,Meditation,massage,Pristiq,row
,,,0.0,0.0,,,,,,,0.0,0.0,,,0.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,Diazepam
,,,,,,,0.0,,,0.0,,,,,,2.0,,,,0.0,,,0.0,,,,,,,,,,,,,,Vitamins
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,physical therapy
0.0,,,,0.0,,,,,,,0.0,0.0,,,0.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,L-methylfolate
0.0,,,0.0,,,,,,,,0.0,0.0,,,0.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,Sunlight
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exercise - dancing
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acetaminophen
,0.0,,,,,,,,,0.0,,,,,,2.0,,,,0.0,,,0.0,,,,,,,,,,,,,,5-htp
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peristeen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daytime sleep
,0.0,,,,,,0.0,,,,,,,,,2.0,,,,0.0,,,0.0,,,,,,,,,,,,,,Cetirizine hydrochloride
0.0,,,0.0,0.0,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,Cambia
0.0,,,0.0,0.0,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,Exercise--walking
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biotin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,elliptical
0.0,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,Aspirin
,2.0,,,,,,2.0,,,2.0,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,flu vaccine injection
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamin d
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Calcium citrate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nycopro Probiotic
,0.0,,,,,,0.0,,,0.0,,,,,,2.0,,,,,,,0.0,,,,,,,,,,,,,,Support worker assistance
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Echinacea
0.0,,,0.0,0.0,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,Glucosamine
,0.0,,,,,,0.0,,,0.0,,,,,,2.0,,,,0.0,,,,,,,,,,,,,,,,,Curcumin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,catheter
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Folic acid
0.0,,,0.0,0.0,,,,,,,0.0,0.0,,,0.0,,,,,,,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,Keppra
0.0,,,0.0,0.0,,,,,,,0.0,0.0,,,0.0,,,,,,,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,Cleaning 
0.0,,,0.0,0.0,,,,,,,0.0,0.0,,,0.0,,,,,,,0.0,,,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,Gabapentin
0.0,,,0.0,0.0,,,,,,,0.0,0.0,,,0.0,,,,,,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Mersyndol Forte
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cetirizine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CrossFit
0.0,,,0.0,0.0,,,,,,,0.0,0.0,,,0.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,Lexapro
0.0,,,0.0,0.0,,,,,,,0.0,0.0,,,0.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Ibuprofen
0.0,,,0.0,0.0,,,,,,,0.0,0.0,,,0.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,Meditation
0.0,,,0.0,0.0,,,,,,,0.0,0.0,,,0.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,massage
0.0,,,0.0,0.0,,,,,,,0.0,0.0,,,0.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,Pristiq
