Dicyclomine,Home physio exercises,Phyical Therapy - stretches,Prilosec,Osteopathy,Tretinoin,Pantoprazole,Acetaminophen,Imodium,Metformin,Coffee,Prednisone,Relaxing,Citalopram,Clinda-derm,Magnesium,excedrin migraine,Physio,Topiramate,Achy breaky rub,ponstan,Paracatamol with codeine,Enada,Ranitidine,Progesterone,Vitamin B,Migraine herb feverfew tablets,Lamictal,Tranexamic acid,Klonopin,Medication,psychologist,Ginger,Montelukast,anti-nausea pills,aqua therapy,Ibuprofen,Methotrexate,Corticosteroids,Multi-vitamin,row
,,2.0,,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,,2.0,,,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,,,0.0,,,,,0.0,,Dicyclomine
,,,2.0,0.0,,2.0,,0.0,2.0,,,,2.0,,2.0,,0.0,2.0,,0.0,0.0,,2.0,0.0,2.0,2.0,,0.0,,,0.0,,,,2.0,,,,2.0,Home physio exercises
2.0,,,,2.0,2.0,2.0,,,2.0,,,2.0,,2.0,,0.0,,,2.0,,,2.0,,2.0,2.0,,,2.0,,2.0,,,2.0,,,,,2.0,,Phyical Therapy - stretches
,2.0,,,2.0,,0.0,,2.0,0.0,,,,0.0,,0.0,,2.0,0.0,,2.0,2.0,,0.0,2.0,0.0,0.0,,2.0,,,2.0,,,,0.0,,,,0.0,Prilosec
0.0,0.0,2.0,2.0,,0.0,0.646075921217,,0.0,0.806215163519,,,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.263312172287,0.347342457044,2.0,,0.196341804542,,0.0,0.0,,0.0,,2.0,,,0.0,2.0,Osteopathy
0.0,,2.0,,0.0,,0.0,,,0.0,,,0.0,,0.0,,2.0,,,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,,,0.0,,,,,0.0,,Tretinoin
0.0,2.0,2.0,0.0,0.646075921217,0.0,,,2.0,0.0138697302837,,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.10680520888,0.060395471388,0.0,,0.158992618538,,0.0,2.0,,0.0,,0.0,,,0.0,0.0,Pantoprazole
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acetaminophen
,0.0,,2.0,0.0,,2.0,,,2.0,,,,2.0,,2.0,,0.0,2.0,,0.0,0.0,,2.0,0.0,2.0,2.0,,0.0,,,0.0,,,,2.0,,,,2.0,Imodium
0.0,2.0,2.0,0.0,0.806215163519,0.0,0.0138697302837,,2.0,,,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.193826724273,0.130233852702,0.0,,0.260452570195,,0.0,2.0,,0.0,,0.0,,,0.0,0.0,Metformin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98306029894,,,,Coffee
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prednisone
0.0,,2.0,,0.0,0.0,0.0,,,0.0,,,,,0.0,,2.0,,,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,,,0.0,,,,,0.0,,Relaxing
,2.0,,0.0,2.0,,0.0,,2.0,0.0,,,,,,0.0,,2.0,0.0,,2.0,2.0,,0.0,2.0,0.0,0.0,,2.0,,,2.0,,,,0.0,,,,0.0,Citalopram
0.0,,2.0,,0.0,0.0,0.0,,,0.0,,,0.0,,,,2.0,,,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,,,0.0,,,,,0.0,,Clinda-derm
,2.0,,0.0,2.0,,0.0,,2.0,0.0,,,,0.0,,,,2.0,0.0,,2.0,2.0,,0.0,2.0,0.0,0.0,,2.0,,,2.0,,,,0.0,,,,0.0,Magnesium
2.0,,0.0,,2.0,2.0,2.0,,,2.0,,,2.0,,2.0,,,,,2.0,,,2.0,,2.0,2.0,,,2.0,,2.0,,,2.0,,,,,2.0,,excedrin migraine
,0.0,,2.0,0.0,,2.0,,0.0,2.0,,,,2.0,,2.0,,,2.0,,0.0,0.0,,2.0,0.0,2.0,2.0,,0.0,,,0.0,,,,2.0,,,,2.0,Physio
,2.0,,0.0,2.0,,0.0,,2.0,0.0,,,,0.0,,0.0,,2.0,,,2.0,2.0,,0.0,2.0,0.0,0.0,,2.0,,,2.0,,,,0.0,,,,0.0,Topiramate
0.0,,2.0,,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,,2.0,,,,,,0.0,,0.0,0.0,,,0.0,,0.0,,,0.0,,,,,0.0,,Achy breaky rub
,0.0,,2.0,0.0,,2.0,,0.0,2.0,,,,2.0,,2.0,,0.0,2.0,,,0.0,,2.0,0.0,2.0,2.0,,0.0,,,0.0,,,,2.0,,,,2.0,ponstan
,0.0,,2.0,0.0,,2.0,,0.0,2.0,,,,2.0,,2.0,,0.0,2.0,,0.0,,,2.0,0.0,2.0,2.0,,0.0,,,0.0,,,,2.0,,,,2.0,Paracatamol with codeine
0.0,,2.0,,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,,2.0,,,0.0,,,,,0.0,0.0,,,0.0,,0.0,,,0.0,,,,,0.0,,Enada
