gardening,Superlong nap,Zantac,allergy shot,IVIG,A little stressed,gluten ,had sex,Imodium,snack lunch,drank alcohol,Vitamin D3,Gluten,spinach,smoothie,skipped meals,gluten free diet,slept 12 hours,caffeine,ate little,lift x2,walked the dogs,housework,dairy,vacation,Iceburg Lettuce,Psyllium husk,Diary,banana,exercise,Multi vitamin,coconut milk,Ligament Restore,no caffeine,Taco Bell,Tylenol,Stretching,slept >12 hrs,Daytime nap,Deep rest,fructose,Cod liver oil,little breakfast,creative writing,juiced,buses,Fructose,ice cream bar,Hiking,home alone,raspberries,Sertraline,studied,walked,donut,mango,fructose ,cake,Cardio,pasta and veggies,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gardening
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Superlong nap
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zantac
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,allergy shot
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IVIG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A little stressed
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gluten 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,had sex
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Imodium
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,snack lunch
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drank alcohol
