Wear shoulder brace,Ambien CR,More stretching,Oxynorm,Lying flat,Miralax low dose at night,Amitriptyline,Metformin,Zofran,Hydroxyzine,Synthroid,gluten free,dairy free,Protecting back,Zolpidem ER,heating pads,Norco,Flexeril,Freezie wrap,Sleep,Vitamin d,cocodamol,drawing,row
,,,,,,,,,,,,,,,,,,,,,,,Wear shoulder brace
,,,,,,,,,,,,,,,,,,,,,,,Ambien CR
,,,,,,,,,,,,,,,,,,,,,,,More stretching
,,,,,,,,,,,,,,,,,,,,,,,Oxynorm
,,,,,,,,,,,,,,,,,,,,,,,Lying flat
,,,,,,,,,,,,,,,,,,,,,,,Miralax low dose at night
,,,,,,,1.0,,,1.0,,,,,,,1.0,,,1.0,,,Amitriptyline
,,,,,,1.0,,,,1.0,,,,,,,1.0,,,1.0,,,Metformin
,,,,,,,,,,,,,,,,,,,,,,,Zofran
,,,,,,,,,,,,,,,,,,,,,,,Hydroxyzine
,,,,,,1.0,1.0,,,,,,,,,,1.0,,,1.0,,,Synthroid
,,,,,,,,,,,,,,,,,,,,,,,gluten free
,,,,,,,,,,,,,,,,,,,,,,,dairy free
,,,,,,,,,,,,,,,,,,,,,,,Protecting back
,,,,,,,,,,,,,,,,,,,,,,,Zolpidem ER
,,,,,,,,,,,,,,,,,,,,,,,heating pads
,,,,,,,,,,,,,,,,,,,,,,,Norco
,,,,,,1.0,1.0,,,1.0,,,,,,,,,,1.0,,,Flexeril
,,,,,,,,,,,,,,,,,,,,,,,Freezie wrap
,,,,,,,,,,,,,,,,,,,,,,,Sleep
,,,,,,1.0,1.0,,,1.0,,,,,,,1.0,,,,,,Vitamin d
,,,,,,,,,,,,,,,,,,,,,,,cocodamol
,,,,,,,,,,,,,,,,,,,,,,,drawing
