Cycling,Contraceptive pill,Selenium,Levothyroxine,Amitriptyline,Yoga,Nasal spray,Rowing machine,Physio,excedrin migraine,Quell,laxatives,Colpermin,Buffered Salmon Oil - DHA - EPA,Headspace,Recov Bipeptides,Vitamin C,heating pads,linseed,pain relief,Boswelia Complex,breathing exercises,Pain management,Noritriptyline,Nortriptyline,Athlete Vitamin,Standing desk,Multi-vitamin,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cycling
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contraceptive pill
,,,-1.0,,,,,,,,,,,,,-1.0,,,,,,,,,,,,Selenium
,,-1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,Levothyroxine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amitriptyline
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yoga
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nasal spray
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rowing machine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Physio
,,,,,,,,,,,,,,,,,,,,,,,,,,,,excedrin migraine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quell
,,,,,,,,,,,,,,,,,,,,,,,,,,,,laxatives
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colpermin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buffered Salmon Oil - DHA - EPA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Headspace
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recov Bipeptides
,,-1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,Vitamin C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,heating pads
,,,,,,,,,,,,,,,,,,,,,,,,,,,,linseed
,,,,,,,,,,,,,,,,,,,,,,,,,,,,pain relief
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boswelia Complex
,,,,,,,,,,,,,,,,,,,,,,,,,,,,breathing exercises
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pain management
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Noritriptyline
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nortriptyline
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athlete Vitamin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Standing desk
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Multi-vitamin
