neck massage,lots of walking,hiking,travel,Superlong nap,Acetaminophen,Marijuana,housework,had sex,exercise,Ibuprofen,breakfast,ate breakfast,row
,0.0,0.0,2.0,0.0,2.0,,0.0,2.0,,0.0,,0.0,neck massage
0.0,,0.0,2.0,0.0,2.0,,0.0,2.0,,0.0,,0.0,lots of walking
0.0,0.0,,2.0,0.0,2.0,,0.0,2.0,,0.0,,0.0,hiking
2.0,2.0,2.0,,2.0,0.0,,2.0,0.0,,2.0,,2.0,travel
0.0,0.0,0.0,2.0,,2.0,,0.0,2.0,0.0,0.0,0.0,2.19214415664e-06,Superlong nap
2.0,2.0,2.0,0.0,2.0,,,2.0,0.0,,2.0,,2.0,Acetaminophen
,,,,,,,,,,,,,Marijuana
0.0,0.0,0.0,2.0,0.0,2.0,,,2.0,,0.0,,0.0,housework
2.0,2.0,2.0,0.0,2.0,0.0,,2.0,,,2.0,,2.0,had sex
,,,,0.0,,,,,,,0.0,0.0,exercise
0.0,0.0,0.0,2.0,0.0,2.0,,0.0,2.0,,,,0.0,Ibuprofen
,,,,0.0,,,,,0.0,,,0.0,breakfast
0.0,0.0,0.0,2.0,2.19214415664e-06,2.0,,0.0,2.0,0.0,0.0,0.0,,ate breakfast
