Lying flat,Sunlight,Ambien CR,Miralax low dose at night,Magnesium glycinate,5-htp,Nasonex,Claritin,Strattera,Hydroxyzine,Famotidine,Vitamin b complex,Protecting back,Astelin,Vitamin C,THC,Allegra,Klonopin,Freezie wrap,Singulair,Fish oil,Vitamin b12,Post-op ice device,Zinc,Vitamin d,Melatonin,drawing,row
,,0.0,0.0,,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,0.0,Lying flat
,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunlight
0.0,,,0.0,,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,0.0,Ambien CR
0.0,,0.0,,,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,0.0,Miralax low dose at night
,,,,,,,,,,,,,,,,,,,,,,,,,,,Magnesium glycinate
,,,,,,,,,,,,,,,,,,,,,,,,,,,5-htp
,,,,,,,,,,,,,,,,,,,,,,,,,,,Nasonex
,,,,,,,,,,,,,,,,,,,,,,,,,,,Claritin
,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,Strattera
0.0,,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,Hydroxyzine
,,,,,,,,,,,,,,,,,,,,,,,,,,,Famotidine
,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamin b complex
0.0,,0.0,0.0,,,,,,0.0,,,,,,,,,0.0,,,,,,,,0.0,Protecting back
,,,,,,,,,,,,,,,,,,,,,,,,,,,Astelin
,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamin C
,,,,,,,,,,,,,,,,,,,,,,,,,,,THC
,,,,,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,Allegra
,,,,,,,,0.0,,,,,,,,0.0,,,,,,0.0,,,,,Klonopin
0.0,,0.0,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,,,0.0,Freezie wrap
,,,,,,,,,,,,,,,,,,,,,,,,,,,Singulair
,,,,,,,,,,,,,,,,,,,,,,,,,,,Fish oil
,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamin b12
,,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,Post-op ice device
,,,,,,,,,,,,,,,,,,,,,,,,,,,Zinc
,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamin d
,,,,,,,,,,,,,,,,,,,,,,,,,,,Melatonin
0.0,,0.0,0.0,,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,drawing
