chores,felt blamed,worked in sketchbook,forgot to enter,triggered,tired,doctor appointment,SAD light,worried,rest day,saw Chris,"blood test, ",calm,stressed,leg spasms,ate breakfast,headache,row
,,,,,,,,,,,,,,,,,chores
,,,,,,,,,,,,,,,,,felt blamed
,,,,,,,,,,,,,,,,,worked in sketchbook
,,,,,,,,,,,,,,,,,forgot to enter
,,,,,,,,,,,,,,,,,triggered
,,,,,,0.0,,,0.0,,0.0,,0.0,0.0,,0.0,tired
,,,,,0.0,,,,0.0,,0.0,,0.0,0.0,,0.0,doctor appointment
,,,,,,,,,,,,,,,,,SAD light
,,,,,,,,,,,,,,,,,worried
,,,,,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,rest day
,,,,,,,,,,,,,,,,,saw Chris
,,,,,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,"blood test, "
,,,,,,,,,,,,,,,,,calm
,,,,,0.0,0.0,,,0.0,,0.0,,,0.0,,0.0,stressed
,,,,,0.0,0.0,,,0.0,,0.0,,0.0,,,0.0,leg spasms
,,,,,,,,,,,,,,,,,ate breakfast
,,,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,,,headache
