physical therapy,Caffeine,Sunlight,Biest,Albuterol Inhaler,Cannabis CBD capsule 10mg,Zolpidem,Magnesium glycinate,My Goodness Organics meals,5-htp,Nasonex,Claritin,Strattera,Ibuprofen 600mg,Venlafaxine,Famotidine,Vitamin b complex,Thyreoidum,Benadryl,Cold Mask,Ranitidine,Excedrin,Astelin,Calcium citrate,Vitamin C,Zoloft,Amitryptiline,THC,Meditation,Turmeric,Allegra,Klonopin,Cetirizine,Singulair,Nortriptyline,Vitamin b12,Cabergoline,Post-op ice device,Zinc,Vitamin d,Melatonin,Thyrax,Fish oil,Pantoprazole,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,physical therapy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caffeine
,,,,,,,2.0,,2.0,2.0,2.0,2.0,,,2.0,2.0,,,,,,2.0,,2.0,,,2.0,,,2.0,2.0,,2.0,,2.0,,2.0,2.0,2.0,2.0,,2.0,,Sunlight
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biest
,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,0.0,,,,,,,,,,0.0,,,,,Albuterol Inhaler
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cannabis CBD capsule 10mg
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zolpidem
,,2.0,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,Magnesium glycinate
,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,My Goodness Organics meals
,,2.0,,,,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,5-htp
,,2.0,,,,,0.0,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,Nasonex
,,2.0,,,,,0.0,,0.0,0.0,,0.0,,,0.0,0.0,,,,,,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,Claritin
,,2.0,,,,,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,,,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,Strattera
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,Ibuprofen 600mg
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Venlafaxine
,,2.0,,,,,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,,,,,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,Famotidine
,,2.0,,,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,,,,,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,Vitamin b complex
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thyreoidum
,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,0.0,,,,,Benadryl
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cold Mask
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ranitidine
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Excedrin
,,2.0,,,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,Astelin
,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,Calcium citrate
,,2.0,,,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,,,,,0.0,,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.763183609359,0.0,,0.0,,Vitamin C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zoloft
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,Amitryptiline
,,2.0,,,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,THC
,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,Meditation
,,,,0.0,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,Turmeric
,,2.0,,,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,,0.0,,,0.0,,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,Allegra
,,2.0,,,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,,0.0,,,0.0,,,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,Klonopin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cetirizine
,,2.0,,,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,,0.0,,,0.0,,,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,,Singulair
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nortriptyline
,,2.0,,,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,Vitamin b12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cabergoline
,,2.0,,,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,,Post-op ice device
,,2.0,,,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,Zinc
,,2.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,0.0,0.763183609359,,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,Vitamin d
,,2.0,,,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,Melatonin
