Diazepam,hiking,L-methylfolate,Writing,birth control,severe pain,milk,cream,spice,yoga,sugar free diet,travel,went swimming,Cambia,spicy meal,housework,Exercise--walking,depo-provera shot,elliptical,dairy,Gabapentin,exercise,Cat ,sushi,Slept well,ate badly,Daytime nap,listen to music ,Glucosamine,Multivitamin,Aspirin,slept in chair,Cat,Keppra,Swimming,ate well,heavy lifting,relaxed day,home alone,rice noodles,Lexapro,over ate,Ibuprofen,Meditation,Singing,massage,Pristiq,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diazepam
,,2.0,0.0,2.0,0.0,,,,,,,,,,,,,,2.0,2.0,,0.0,2.0,2.0,,,2.0,,2.0,2.0,0.0,0.0,2.0,,,,,0.0,0.0,2.0,0.0,,,0.0,,,hiking
,2.0,,2.0,0.0,2.0,,,,,,,,,,,,,,0.0,0.0,,2.0,0.0,0.0,,,0.0,,0.0,0.0,2.0,2.0,0.0,,,,,2.0,2.0,0.0,2.0,,,2.0,,,L-methylfolate
,0.0,2.0,,2.0,0.0,,,,,,,,,,,,,,2.0,2.0,,0.0,2.0,2.0,,,2.0,,2.0,2.0,0.0,0.0,2.0,,,,,0.0,0.0,2.0,0.0,,,0.0,,,Writing
,2.0,0.0,2.0,,2.0,,,,,,,,,,,,,,0.0,0.0,,2.0,0.0,0.0,,,0.0,,0.0,0.0,2.0,2.0,0.0,,,,,2.0,2.0,0.0,2.0,,,2.0,,,birth control
,0.0,2.0,0.0,2.0,,,,,,,,,,,,,,,2.0,2.0,,0.0,2.0,2.0,,,2.0,,2.0,2.0,0.0,0.0,2.0,,,,,0.0,0.0,2.0,0.0,,,0.0,,,severe pain
,,,,,,,2.0,0.0,2.0,,2.0,0.0,,0.0,0.0,,0.0,,2.0,,0.0,,,,0.0,2.0,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,milk
,,,,,,2.0,,2.0,0.0,,0.0,2.0,,2.0,2.0,,2.0,,0.0,,2.0,,,,2.0,0.0,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,cream
,,,,,,0.0,2.0,,2.0,,2.0,0.0,,0.0,0.0,,0.0,,2.0,,0.0,,,,0.0,2.0,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,spice
,,,,,,2.0,0.0,2.0,,,0.0,2.0,,2.0,2.0,,2.0,,0.0,,2.0,,,,2.0,0.0,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,yoga
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sugar free diet
,,,,,,2.0,0.0,2.0,0.0,,,2.0,,2.0,2.0,,2.0,,0.0,,2.0,,,,2.0,0.0,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,travel
,,,,,,0.0,2.0,0.0,2.0,,2.0,,,0.0,0.0,,0.0,,2.0,,0.0,,,,0.0,2.0,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,went swimming
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cambia
,,,,,,0.0,2.0,0.0,2.0,,2.0,0.0,,,0.0,,0.0,,2.0,,0.0,,,,0.0,2.0,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,spicy meal
,,,,,,0.0,2.0,0.0,2.0,,2.0,0.0,,0.0,,,0.0,,2.0,,0.0,,,,0.0,2.0,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,housework
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exercise--walking
,,,,,,0.0,2.0,0.0,2.0,,2.0,0.0,,0.0,0.0,,,,2.0,,0.0,,,,0.0,2.0,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,depo-provera shot
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,elliptical
