Ritalin,BeachBody OnDemand,Cyclizine,Albuterol Inhaler,Florinef,Solifenacin,Darifenacin,Probiotic,Ibuprofen 600mg,digestive enzyme,Ribose,Monteluklast,Feverfew,Carbomer eye drops,alverine,Piyo,Benadryl,Ranitidine,SAM-E,Excedrin,Vitamin d,TigerBalm,Calcium citrate,Vitamin C,Cetraben cream,Turmeric,Cetirizine,Guarana & Ginseng,Ginger,Hydrocortisone,Vitamin b12,Cerelle,Passionflower,row
,,-1.0,,,-1.0,,-1.0,,,,,-1.0,,,,,,,,,,,,,,,,,,-1.0,,-1.0,Ritalin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeachBody OnDemand
-1.0,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,Cyclizine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Albuterol Inhaler
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Florinef
-1.0,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,Solifenacin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Darifenacin
-1.0,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,Probiotic
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ibuprofen 600mg
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,digestive enzyme
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ribose
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monteluklast
-1.0,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,Feverfew
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carbomer eye drops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alverine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Piyo
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Benadryl
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ranitidine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAM-E
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Excedrin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamin d
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TigerBalm
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Calcium citrate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamin C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cetraben cream
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turmeric
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cetirizine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guarana & Ginseng
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ginger
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hydrocortisone
-1.0,,1.0,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,Vitamin b12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cerelle
-1.0,,1.0,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,Passionflower
