hiking,tired,mangos,Back Seizing,stress 2,gluten,cramps,Headache,busy,tough half marathon,sore jaw - stress,Physio,drinks,played games,exercise,happy,tough run,got a new ergonomic chair for work,Superlong nap,ativan,Missed meals,large pastry,no breakfast,doctors,stress 3,no work,slept well,good sleep,12K Steps,black day,with friends,stressed,Slept all day,row
,,,0.0,0.0,0.0,,,0.0,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,hiking
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tired
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mangos
0.0,,,,0.0,,,,0.0,,,,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,Back Seizing
0.0,,,0.0,,,,,0.0,,,,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,stress 2
0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,gluten
,,,,,,,0.0,,,0.0,0.0,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,0.0,cramps
,,,,,,0.0,,,,0.0,0.0,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,0.0,Headache
0.0,,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,busy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tough half marathon
,,,,,,0.0,0.0,,,,0.0,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,0.0,sore jaw - stress
,,,,,,0.0,0.0,,,0.0,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,0.0,Physio
0.0,,,0.0,0.0,,,,0.0,,,,,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,drinks
,,,,,,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,,,,0.0,played games
0.0,,,0.0,0.0,,,,0.0,,,,0.0,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,exercise
0.0,,,0.0,0.0,,,,0.0,,,,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,happy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tough run
0.0,,,0.0,0.0,,,,0.0,,,,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,got a new ergonomic chair for work
0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Superlong nap
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ativan
0.0,,,0.0,0.0,,,,0.0,,,,0.0,,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,Missed meals
0.0,,,0.0,0.0,,,,0.0,,,,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,large pastry
0.0,,,0.0,0.0,,,,0.0,,,,0.0,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,no breakfast
0.0,,,0.0,0.0,,,,0.0,,,,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,doctors
0.0,,,0.0,0.0,,,,0.0,,,,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,stress 3
0.0,,,0.0,0.0,,,,0.0,,,,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,no work
,,,,,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,slept well
0.0,,,0.0,0.0,,,,0.0,,,,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,good sleep
,,,,,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,12K Steps
0.0,,,0.0,0.0,,,,0.0,,,,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,black day
0.0,,,0.0,0.0,,,,0.0,,,,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,with friends
0.0,,,0.0,0.0,,,,0.0,,,,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,stressed
,,,,,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,Slept all day
