Medications,Yoga,physical therapy,Albuterol Inhaler,Exercise,Ibuprofen 600mg,Dermatologist,Turmeric,Benadryl,Ranitidine,Chiropractic,Excedrin,Calcium citrate,Vitamin C,Magnesium,Iron,neuro,Wellbutrin,psychiatrists,Walking,Medication,Cetirizine,Sertraline,Coenzyme q-10,Vitamin d,counselor,row
,2.0,2.0,,0.0,,0.0,,,,2.0,,,,,,0.0,,0.0,0.0,2.0,,,2.0,2.0,0.0,Medications
2.0,,0.0,,2.0,,2.0,,,,0.0,,,,,,2.0,,2.0,2.0,0.0,,,0.0,0.0,2.0,Yoga
2.0,0.0,,,2.0,,2.0,,,,0.0,,,,,,2.0,,2.0,2.0,0.0,,,0.0,0.0,2.0,physical therapy
,,,,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,0.0,,,0.0,,Albuterol Inhaler
0.0,2.0,2.0,,,,0.0,,,,2.0,,,,,,0.0,,0.0,0.0,2.0,,,2.0,2.0,0.0,Exercise
,,,,,,,,,,,0.0,,,,,,,,,,,,,,,Ibuprofen 600mg
0.0,2.0,2.0,,0.0,,,,,,2.0,,,,,,0.0,,0.0,0.0,2.0,,,2.0,2.0,0.0,Dermatologist
,,,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,,,,0.0,,,0.0,,Turmeric
,,,0.0,,,,0.0,,0.0,,,0.0,0.0,,,,,,,,0.0,,,0.0,,Benadryl
,,,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,,,,,0.0,,,0.0,,Ranitidine
2.0,0.0,0.0,,2.0,,2.0,,,,,,,,,,2.0,,2.0,2.0,0.0,,,0.0,0.0,2.0,Chiropractic
,,,,,0.0,,,,,,,,,,,,,,,,,,,,,Excedrin
,,,0.0,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,0.0,,,0.0,,Calcium citrate
,,,0.0,,,,0.0,0.0,0.0,,,0.0,,,,,,,,,0.0,,,0.0,,Vitamin C
,,,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,,,,Magnesium
,,,,,,,,,,,,,,0.0,,,0.0,,,,,0.0,,,,Iron
0.0,2.0,2.0,,0.0,,0.0,,,,2.0,,,,,,,,0.0,0.0,2.0,,,2.0,2.0,0.0,neuro
,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,,Wellbutrin
0.0,2.0,2.0,,0.0,,0.0,,,,2.0,,,,,,0.0,,,0.0,2.0,,,2.0,2.0,0.0,psychiatrists
0.0,2.0,2.0,,0.0,,0.0,,,,2.0,,,,,,0.0,,0.0,,2.0,,,2.0,2.0,0.0,Walking
2.0,0.0,0.0,,2.0,,2.0,,,,0.0,,,,,,2.0,,2.0,2.0,,,,0.0,0.0,2.0,Medication
,,,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,0.0,,Cetirizine
,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,Sertraline
2.0,0.0,0.0,,2.0,,2.0,,,,0.0,,,,,,2.0,,2.0,2.0,0.0,,,,0.0,2.0,Coenzyme q-10
2.0,0.0,0.0,0.0,2.0,,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,2.0,,2.0,2.0,0.0,0.0,,0.0,,2.0,Vitamin d
0.0,2.0,2.0,,0.0,,0.0,,,,2.0,,,,,,0.0,,0.0,0.0,2.0,,,2.0,2.0,,counselor
