Caffeine,Cannabis,Low oxalate,Tylenol 3,gluten free,Aromatherapy,DEHA,Methylcobalamine,Trigger Points,Oxcarbazepine,Snooze,Magnesium,Iron,Tavegyl,Wellbutrin,rebounding,Snacks,Sertraline,LUSH acne spot-treatment,Vitamin b12,Veggies,massage,row
,,,,,,,,,,0.0,,,,,,0.0,,,0.0,0.0,,Caffeine
,,,,,,,,,,,,,,,,,,,,,,Cannabis
,,,,,,,,,,,,,,,,,,,,,,Low oxalate
,,,,,,,,,,,,,,,,,,,,,,Tylenol 3
,,,,,,,,,,,,,,,,,,,,,,gluten free
,,,,,,,,,,,,,,,,,,,,,,Aromatherapy
,,,,,,,,,,,,,,,,,,,,,,DEHA
,,,,,,,,,,,,,,,,,,,,,,Methylcobalamine
,,,,,,,,,,,,,,,,,,,,,,Trigger Points
,,,,,,,,,,,,,,,,,,,,,,Oxcarbazepine
0.0,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,Snooze
,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,Magnesium
,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,Iron
,,,,,,,,,,,,,,,,,,,,,,Tavegyl
,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,Wellbutrin
,,,,,,,,,,,,,,,,,,,,,,rebounding
0.0,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,Snacks
,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,Sertraline
,,,,,,,,,,,,,,,,,,,,,,LUSH acne spot-treatment
0.0,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,Vitamin b12
0.0,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,Veggies
,,,,,,,,,,,,,,,,,,,,,,massage
