Superlong nap,Medicinal Herbs,Viibryd,gluten,had sex,Fluoxetine,Armodafinil,espresso,Caffeine,gluten ,sugar,gluten free,busy,Cabergoline,studied,Levothyroxine,Amitryptiline,Metoprolol,Meditation,gluten free diet,row
,2.0,,,,,,,,,,,,,,,,0.0,,,Superlong nap
2.0,,,,,,,,,,,,,,,,,2.0,,,Medicinal Herbs
,,,2.0,0.0,,,0.0,,2.0,0.0,0.0,2.0,,2.0,2.0,0.0,2.0,0.0,2.0,Viibryd
,,2.0,,2.0,,,2.0,,0.0,2.0,2.0,0.0,,0.0,0.0,2.0,0.0,2.0,0.0,gluten
,,0.0,2.0,,,,0.0,,2.0,0.0,0.0,2.0,,2.0,2.0,0.0,2.0,0.0,2.0,had sex
,,,,,,,,,,,,,,,,,,,,Fluoxetine
,,,,,,,,,,,,,,,,,,,,Armodafinil
,,0.0,2.0,0.0,,,,,2.0,0.0,0.0,2.0,,2.0,2.0,0.0,2.0,0.0,2.0,espresso
,,,,,,,,,,,,,,,,,,,,Caffeine
,,2.0,0.0,2.0,,,2.0,,,2.0,2.0,0.0,,0.0,0.0,2.0,0.0,2.0,0.0,gluten 
,,0.0,2.0,0.0,,,0.0,,2.0,,0.0,2.0,,2.0,2.0,0.0,2.0,0.0,2.0,sugar
,,0.0,2.0,0.0,,,0.0,,2.0,0.0,,2.0,,2.0,2.0,0.0,2.0,0.0,2.0,gluten free
,,2.0,0.0,2.0,,,2.0,,0.0,2.0,2.0,,,0.0,0.0,2.0,0.0,2.0,0.0,busy
,,,,,,,,,,,,,,,,,,,,Cabergoline
,,2.0,0.0,2.0,,,2.0,,0.0,2.0,2.0,0.0,,,0.0,2.0,0.0,2.0,0.0,studied
,,2.0,0.0,2.0,,,2.0,,0.0,2.0,2.0,0.0,,0.0,,2.0,0.0,2.0,0.0,Levothyroxine
,,0.0,2.0,0.0,,,0.0,,2.0,0.0,0.0,2.0,,2.0,2.0,,2.0,0.0,2.0,Amitryptiline
0.0,2.0,2.0,0.0,2.0,,,2.0,,0.0,2.0,2.0,0.0,,0.0,0.0,2.0,,2.0,0.0,Metoprolol
,,0.0,2.0,0.0,,,0.0,,2.0,0.0,0.0,2.0,,2.0,2.0,0.0,2.0,,2.0,Meditation
,,2.0,0.0,2.0,,,2.0,,0.0,2.0,2.0,0.0,,0.0,0.0,2.0,0.0,2.0,,gluten free diet
