hiking,Midodrine,Vitamins,Yoga,gluten free diet,Fluvoxamine,Selenium,Vacation,Echinacea,exercise - dancing,Beer,Acetaminophen,Love,mountain biking,drank alcohol,Exercise,5-htp,Peristeen,Daytime sleep,blueberries,Cetirizine hydrochloride,lots of walking,Docosahexaenoic acid,Methylphenidate,bunny cuddles,occular migraine meds,listen to music ,Plaquenil,Biotin,elliptical,dairy,Gravol,Psychotherapy,Tyrosine,Vitamin b complex,exercise,flu vaccine injection,No red meat,Chiropractic,Seasonique,Tavegyl,foot brace,stress,Calcium citrate,Nycopro Probiotic,b12 injection,Support worker assistance,Topiramate,Magnesium,Iron,peanuts,Cetirizine,catheter,Folic acid,Fresh air,read book,Iodine,CrossFit,Glycine,Voltaren,Eicosapentaenoic acid,Ultrasound,Coenzyme q-10,strawberries,10K steps,Fishing,Vitamin d,crafting,Curcumin,Ropinirole,row
,2.0,,2.0,2.0,2.0,,,,,,,2.0,2.0,0.0,2.0,,,,,,,,2.0,0.0,,0.0,2.0,,,0.0,,,2.0,,0.0,,,2.0,,2.0,,,,,,,2.0,2.0,,,,,,,,,,,2.0,,2.0,,,0.0,,,0.0,,2.0,hiking
2.0,,,0.0,0.0,0.0,,,,,,,0.0,0.0,2.0,0.0,,,,,,,,0.0,2.0,,2.0,0.0,,,2.0,,,0.0,,2.0,,,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,0.0,,,2.0,,,2.0,,0.0,Midodrine
,,,,,,0.0,,,,2.0,,,,,,0.0,,,,0.0,,0.0,,,0.0,,,,,,0.0,,,0.0,2.0,0.0,0.0,,0.0,,0.0,2.0,,,0.0,0.0,,,0.0,2.0,,,,,2.0,0.0,,0.0,,0.0,,0.0,2.0,,,,,0.0,,Vitamins
2.0,0.0,,,0.0,0.0,,,,,,,0.0,0.0,2.0,0.0,,,,,,,,0.0,2.0,,2.0,0.0,,,2.0,,,0.0,,2.0,,,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,0.0,,,2.0,,,2.0,,0.0,Yoga
2.0,0.0,,0.0,,0.0,,,,,,,0.0,0.0,2.0,0.0,,,,,,,,0.0,2.0,,2.0,0.0,,,2.0,,,0.0,,2.0,,,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,0.0,,,2.0,,,2.0,,0.0,gluten free diet
2.0,0.0,,0.0,0.0,,,,,,,,0.0,0.0,2.0,0.0,,,,,,,,0.0,2.0,,2.0,0.0,,,2.0,,,0.0,,2.0,,,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,0.0,,,2.0,,,2.0,,0.0,Fluvoxamine
,,0.0,,,,,,,,2.0,,,,,,0.0,,,,0.0,,0.0,,,0.0,,,,,,0.0,,,0.0,2.0,0.0,0.0,,0.0,,0.0,2.0,,,0.0,0.0,,,0.0,2.0,,,,,2.0,0.0,,0.0,,0.0,,0.0,2.0,,,,,0.0,,Selenium
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vacation
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Echinacea
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exercise - dancing
,,2.0,,,,2.0,,,,,,,,,,2.0,,,,2.0,,2.0,,,2.0,,,,,,2.0,,,2.0,0.0,2.0,2.0,,2.0,,2.0,0.0,,,2.0,2.0,,,2.0,0.0,,,,,0.0,2.0,,2.0,,2.0,,2.0,0.0,,,,,2.0,,Beer
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acetaminophen
2.0,0.0,,0.0,0.0,0.0,,,,,,,,0.0,2.0,0.0,,,,,,,,0.0,2.0,,2.0,0.0,,,2.0,,,0.0,,2.0,,,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,0.0,,,2.0,,,2.0,,0.0,Love
2.0,0.0,,0.0,0.0,0.0,,,,,,,0.0,,2.0,0.0,,,,,,,,0.0,2.0,,2.0,0.0,,,2.0,,,0.0,,2.0,,,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,0.0,,,2.0,,,2.0,,0.0,mountain biking
0.0,2.0,,2.0,2.0,2.0,,,,,,,2.0,2.0,,2.0,,,,,,,,2.0,0.0,,0.0,2.0,,,0.0,,,2.0,,0.0,,,2.0,,2.0,,,,,,,2.0,2.0,,,,,,,,,,,2.0,,2.0,,,0.0,,,0.0,,2.0,drank alcohol
2.0,0.0,,0.0,0.0,0.0,,,,,,,0.0,0.0,2.0,,,,,,,,,0.0,2.0,,2.0,0.0,,,2.0,,,0.0,,2.0,,,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,0.0,,,2.0,,,2.0,,0.0,Exercise
,,0.0,,,,0.0,,,,2.0,,,,,,,,,,0.0,,0.0,,,0.0,,,,,,0.0,,,0.0,2.0,0.0,0.0,,0.0,,0.0,2.0,,,0.0,0.0,,,0.0,2.0,,,,,2.0,0.0,,0.0,,0.0,,0.0,2.0,,,,,0.0,,5-htp
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peristeen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daytime sleep
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blueberries
,,0.0,,,,0.0,,,,2.0,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,0.0,,,0.0,2.0,0.0,0.0,,0.0,,0.0,2.0,,,0.0,0.0,,,0.0,2.0,,,,,2.0,0.0,,0.0,,0.0,,0.0,2.0,,,,,0.0,,Cetirizine hydrochloride
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lots of walking
,,0.0,,,,0.0,,,,2.0,,,,,,0.0,,,,0.0,,,,,0.0,,,,,,0.0,,,0.0,2.0,0.0,0.0,,0.0,,0.0,2.0,,,0.0,0.0,,,0.0,2.0,,,,,2.0,0.0,,0.0,,0.0,,0.0,2.0,,,,,0.0,,Docosahexaenoic acid
2.0,0.0,,0.0,0.0,0.0,,,,,,,0.0,0.0,2.0,0.0,,,,,,,,,2.0,,2.0,0.0,,,2.0,,,0.0,,2.0,,,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,0.0,,,2.0,,,2.0,,0.0,Methylphenidate
0.0,2.0,,2.0,2.0,2.0,,,,,,,2.0,2.0,0.0,2.0,,,,,,,,2.0,,,0.0,2.0,,,0.0,,,2.0,,0.0,,,2.0,,2.0,,,,,,,2.0,2.0,,,,,,,,,,,2.0,,2.0,,,0.0,,,0.0,,2.0,bunny cuddles
,,0.0,,,,0.0,,,,2.0,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,0.0,,,0.0,2.0,0.0,0.0,,0.0,,0.0,2.0,,,0.0,0.0,,,0.0,2.0,,,,,2.0,0.0,,0.0,,0.0,,0.0,2.0,,,,,0.0,,occular migraine meds
0.0,2.0,,2.0,2.0,2.0,,,,,,,2.0,2.0,0.0,2.0,,,,,,,,2.0,0.0,,,2.0,,,0.0,,,2.0,,0.0,,,2.0,,2.0,,,,,,,2.0,2.0,,,,,,,,,,,2.0,,2.0,,,0.0,,,0.0,,2.0,listen to music 
2.0,0.0,,0.0,0.0,0.0,,,,,,,0.0,0.0,2.0,0.0,,,,,,,,0.0,2.0,,2.0,,,,2.0,,,0.0,,2.0,,,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,0.0,,,2.0,,,2.0,,0.0,Plaquenil
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biotin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,elliptical
0.0,2.0,,2.0,2.0,2.0,,,,,,,2.0,2.0,0.0,2.0,,,,,,,,2.0,0.0,,0.0,2.0,,,,,,2.0,,0.0,,,2.0,,2.0,,,,,,,2.0,2.0,,,,,,,,,,,2.0,,2.0,,,0.0,,,0.0,,2.0,dairy
,,0.0,,,,0.0,,,,2.0,,,,,,0.0,,,,0.0,,0.0,,,0.0,,,,,,,,,0.0,2.0,0.0,0.0,,0.0,,0.0,2.0,,,0.0,0.0,,,0.0,2.0,,,,,2.0,0.0,,0.0,,0.0,,0.0,2.0,,,,,0.0,,Gravol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Psychotherapy
2.0,0.0,,0.0,0.0,0.0,,,,,,,0.0,0.0,2.0,0.0,,,,,,,,0.0,2.0,,2.0,0.0,,,2.0,,,,,2.0,,,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,0.0,,,2.0,,,2.0,,0.0,Tyrosine
,,0.0,,,,0.0,,,,2.0,,,,,,0.0,,,,0.0,,0.0,,,0.0,,,,,,0.0,,,,2.0,0.0,0.0,,0.0,,0.0,2.0,,,0.0,0.0,,,0.0,2.0,,,,,2.0,0.0,,0.0,,0.0,,0.0,2.0,,,,,0.0,,Vitamin b complex
0.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,0.0,,2.0,2.0,0.0,2.0,2.0,,,,2.0,,2.0,2.0,0.0,2.0,0.0,2.0,,,0.0,2.0,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,0.0,,,2.0,2.0,2.0,2.0,2.0,0.0,,,,,0.0,2.0,,2.0,2.0,2.0,2.0,2.0,0.0,0.0,,,0.0,2.0,2.0,exercise
,,0.0,,,,0.0,,,,2.0,,,,,,0.0,,,,0.0,,0.0,,,0.0,,,,,,0.0,,,0.0,2.0,,0.0,,0.0,,0.0,2.0,,,0.0,0.0,,,0.0,2.0,,,,,2.0,0.0,,0.0,,0.0,,0.0,2.0,,,,,0.0,,flu vaccine injection
,,0.0,,,,0.0,,,,2.0,,,,,,0.0,,,,0.0,,0.0,,,0.0,,,,,,0.0,,,0.0,2.0,0.0,,,0.0,,0.0,2.0,,,0.0,0.0,,,0.0,2.0,,,,,2.0,0.0,,0.0,,0.0,,0.0,2.0,,,,,0.0,,No red meat
2.0,0.0,,0.0,0.0,0.0,,,,,,,0.0,0.0,2.0,0.0,,,,,,,,0.0,2.0,,2.0,0.0,,,2.0,,,0.0,,2.0,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,0.0,,,2.0,,,2.0,,0.0,Chiropractic
,,0.0,,,,0.0,,,,2.0,,,,,,0.0,,,,0.0,,0.0,,,0.0,,,,,,0.0,,,0.0,2.0,0.0,0.0,,,,0.0,2.0,,,0.0,0.0,,,0.0,2.0,,,,,2.0,0.0,,0.0,,0.0,,0.0,2.0,,,,,0.0,,Seasonique
2.0,0.0,,0.0,0.0,0.0,,,,,,,0.0,0.0,2.0,0.0,,,,,,,,0.0,2.0,,2.0,0.0,,,2.0,,,0.0,,2.0,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,0.0,,,2.0,,,2.0,,0.0,Tavegyl
,,0.0,,,,0.0,,,,2.0,,,,,,0.0,,,,0.0,,0.0,,,0.0,,,,,,0.0,,,0.0,2.0,0.0,0.0,,0.0,,,2.0,,,0.0,0.0,,,0.0,2.0,,,,,2.0,0.0,,0.0,,0.0,,0.0,2.0,,,,,0.0,,foot brace
,,2.0,,,,2.0,,,,0.0,,,,,,2.0,,,,2.0,,2.0,,,2.0,,,,,,2.0,,,2.0,0.0,2.0,2.0,,2.0,,2.0,,,,2.0,2.0,,,2.0,0.0,,,,,0.0,2.0,,2.0,,2.0,,2.0,0.0,,,,,2.0,,stress
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Calcium citrate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nycopro Probiotic
