rest day,archery,gardening,11k steps,ice cream bar,Candy,little breakfast,donut,new environment,yogurt,nachos,Arby's,row
,,0.0,,2.0,2.0,0.0,0.0,,2.0,,0.0,rest day
,,,2.0,,,,,0.0,,0.0,,archery
0.0,,,,2.0,2.0,0.0,0.0,,2.0,,0.0,gardening
,2.0,,,,,,,2.0,,2.0,,11k steps
2.0,,2.0,,,0.0,2.0,2.0,,0.0,,2.0,ice cream bar
2.0,,2.0,,0.0,,2.0,2.0,,0.0,,2.0,Candy
0.0,,0.0,,2.0,2.0,,0.0,,2.0,,0.0,little breakfast
0.0,,0.0,,2.0,2.0,0.0,,,2.0,,0.0,donut
,0.0,,2.0,,,,,,,0.0,,new environment
2.0,,2.0,,0.0,0.0,2.0,2.0,,,,2.0,yogurt
,0.0,,2.0,,,,,0.0,,,,nachos
0.0,,0.0,,2.0,2.0,0.0,0.0,,2.0,,,Arby's
