long drive,gal meeting,stressed,uneventful,tired,sleepy,foccacia,had sex,stomach pain,ate breakfast,chilled with friends,Pain,alcohol,Relaxing,Herx,exercise,Visited Family,cancelled 1 of 2 meetings,Bloated,Superlong nap,fatique,grapes,Stayed on diet,bath with epsom salt,Ate before bed,Sad,12K Steps,pineapple,social interaction,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,long drive
,,,0.0,,,,,,,0.0,,,2.0,,,,0.0,,,,,,,,,,,,gal meeting
,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,stressed
,0.0,,,,,,,,,0.0,,,2.0,,,,0.0,,,,,,,,,,,,uneventful
,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,tired
,,,,,,0.0,0.0,,,,,,,,,,,0.0,,,0.0,,2.0,,0.0,0.0,0.0,,sleepy
,,,,,0.0,,0.0,,,,,,,,,,,0.0,,,0.0,,2.0,,0.0,0.0,0.0,,foccacia
,,,,,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,,2.0,,0.0,0.0,0.0,,had sex
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stomach pain
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ate breakfast
,0.0,,0.0,,,,,,,,,,2.0,,,,0.0,,,,,,,,,,,,chilled with friends
,,,,,,,,,,,,0.0,,,0.0,,,,0.0,0.0,,0.0,,0.0,,,,,Pain
,,,,,,,,,,,0.0,,,,0.0,,,,0.0,0.0,,0.0,,0.0,,,,,alcohol
,2.0,,2.0,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,,,Relaxing
,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Herx
,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,0.0,,0.0,,,,,exercise
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visited Family
,0.0,,0.0,,,,,,,0.0,,,2.0,,,,,,,,,,,,,,,,cancelled 1 of 2 meetings
,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,2.0,,0.0,0.0,0.0,,Bloated
,,,,,,,,,,,0.0,0.0,,,0.0,,,,,0.0,,0.0,,0.0,,,,,Superlong nap
,,,,,,,,,,,0.0,0.0,,,0.0,,,,0.0,,,0.0,,0.0,,,,,fatique
,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,,2.0,,0.0,0.0,0.0,,grapes
,,,,,,,,,,,0.0,0.0,,,0.0,,,,0.0,0.0,,,,0.0,,,,,Stayed on diet
,,,,,2.0,2.0,2.0,,,,,,,,,,,2.0,,,2.0,,,,2.0,2.0,2.0,,bath with epsom salt
,,,,,,,,,,,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,,,,,,Ate before bed
,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,,,0.0,,2.0,,,0.0,0.0,,Sad
,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,,,0.0,,2.0,,0.0,,0.0,,12K Steps
,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,,,0.0,,2.0,,0.0,0.0,,,pineapple
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,social interaction
