Bactrim,read book,Emu oil,allergy shot,fuck yeah avocado,Awesome cheat day,cuddles!,had sex last night,Montelukast,blowjob,exercise,washing up,Ibuprofen,marijuana,THC,Estriol,ate breakfast,Gabapentin,row
,,,,,,,,,,,,,,,,,,Bactrim
,,,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,read book
,,,,,,,,2.0,,0.0,,2.0,,2.0,2.0,2.0,2.0,Emu oil
,0.0,,,2.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,allergy shot
,2.0,,2.0,,2.0,2.0,2.0,,2.0,,2.0,,2.0,,,,,fuck yeah avocado
,0.0,,0.0,2.0,,0.0,0.0,,0.0,,0.0,,0.0,,,,,Awesome cheat day
,0.0,,0.0,2.0,0.0,,0.0,,0.0,,0.0,,0.0,,,,,cuddles!
,0.0,,0.0,2.0,0.0,0.0,,,0.0,,0.0,,0.0,,,,,had sex last night
,,2.0,,,,,,,,2.0,,0.0,,0.0,0.0,0.0,0.0,Montelukast
,0.0,,0.0,2.0,0.0,0.0,0.0,,,,0.0,,0.0,,,,,blowjob
,,0.0,,,,,,2.0,,,,2.0,,2.0,2.0,2.0,2.0,exercise
,0.0,,0.0,2.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,,washing up
,,2.0,,,,,,0.0,,2.0,,,,0.0,0.0,0.0,0.0,Ibuprofen
,0.0,,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,marijuana
,,2.0,,,,,,0.0,,2.0,,0.0,,,0.0,0.0,0.0,THC
,,2.0,,,,,,0.0,,2.0,,0.0,,0.0,,0.0,0.0,Estriol
,,2.0,,,,,,0.0,,2.0,,0.0,,0.0,0.0,,0.0,ate breakfast
,,2.0,,,,,,0.0,,2.0,,0.0,,0.0,0.0,0.0,,Gabapentin
