10.5 hours sleep,Vitamins,bacon,8.5 hours sleep,slept 7 hours,Acetaminophen,birth control,Magnesium glycinate,5-htp,Nasonex,Claritin,blueberries,Cetirizine hydrochloride,Strattera,8 hours sleep,siracha,Famotidine,Vitamin b complex,therapy session,Astelin,Daytime nap,Vitamin C,Support worker assistance,9 hours sleep,Curcumin,slept 11 hours,Allegra,Klonopin,Singulair,Fish oil,Psychotherapy,CoQ10,Vitamin b12,Fishing,Zinc,Vitamin d,popcorn,Melatonin,row
,,0.0,0.0,0.0,,2.0,2.0,2.0,2.0,2.0,,,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,,0.0,,0.0,2.0,2.0,2.0,2.0,,2.0,2.0,,2.0,2.0,0.0,2.0,10.5 hours sleep
,,,,,0.0,,,,,,2.0,0.0,,,,,,,,,,0.0,,0.0,,,,,,2.0,,,2.0,,,,,Vitamins
0.0,,,0.0,0.0,,2.0,2.0,2.0,2.0,2.0,,,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,,0.0,,0.0,2.0,2.0,2.0,2.0,,2.0,2.0,,2.0,2.0,0.0,2.0,bacon
0.0,,0.0,,0.0,,2.0,2.0,2.0,2.0,2.0,,,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,,0.0,,0.0,2.0,2.0,2.0,2.0,,2.0,2.0,,2.0,2.0,0.0,2.0,8.5 hours sleep
0.0,,0.0,0.0,,,2.0,2.0,2.0,2.0,2.0,,,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,,0.0,,0.0,2.0,2.0,2.0,2.0,,2.0,2.0,,2.0,2.0,0.0,2.0,slept 7 hours
,0.0,,,,,,,,,,2.0,0.0,,,,,,,,,,0.0,,0.0,,,,,,2.0,,,2.0,,,,,Acetaminophen
2.0,,2.0,2.0,2.0,,,0.0,0.0,0.0,0.0,,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,,2.0,,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,birth control
2.0,,2.0,2.0,2.0,,0.0,,0.0,0.0,0.0,,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,,2.0,,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,Magnesium glycinate
2.0,,2.0,2.0,2.0,,0.0,0.0,,0.0,0.0,,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,,2.0,,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,5-htp
2.0,,2.0,2.0,2.0,,0.0,0.0,0.0,,0.0,,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,,2.0,,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,Nasonex
2.0,,2.0,2.0,2.0,,0.0,0.0,0.0,0.0,,,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,,2.0,,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,Claritin
