Ex bike,Diazepam,Cannabis,Naproxen,Methylcobalamine,gluten free,pilates,Low oxalate,Tylenol 3,Daily walk,DEHA,Wore arch supports all day,Trigger Points,Enbrel,Magnesium citrate,Calcium,Vitamin D3,Moringa,Midodrine,Counseling,Tavegyl,rebounding,Iodine,Aromatherapy,LUSH acne spot-treatment,cough syrup,Rest,Vitamin b12,Sleep,electric wheelchair,Steps,Meditation,massage,row
,2.0,,2.0,,,2.0,,,0.0,,,,,,,,,,,,,,,,2.0,2.0,,2.0,,2.0,2.0,,Ex bike
2.0,,,0.0,,,0.0,,,2.0,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,0.0,0.0,,Diazepam
,,,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,Cannabis
2.0,0.0,,,,,0.0,,,2.0,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,0.0,0.0,,Naproxen
,,0.0,,,0.0,,0.0,0.0,,0.0,,0.0,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,Methylcobalamine
,,0.0,,0.0,,,0.0,0.0,,0.0,,0.0,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,gluten free
2.0,0.0,,0.0,,,,,,2.0,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,0.0,0.0,,pilates
,,0.0,,0.0,0.0,,,0.0,,0.0,,0.0,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,Low oxalate
,,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,Tylenol 3
0.0,2.0,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,2.0,2.0,,2.0,,2.0,2.0,,Daily walk
,,0.0,,0.0,0.0,,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,DEHA
,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,Wore arch supports all day
,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,Trigger Points
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enbrel
,,,,,,,,,,,,,,,0.0,0.0,,,,,,0.0,,,,,0.0,,0.0,,,,Magnesium citrate
,,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,,0.0,,0.0,,,,Calcium
,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,,,0.0,,0.0,,,,Vitamin D3
,,,,,,,,,,,0.0,,,,,,,2.0,,,,,,,,,,,,,,,Moringa
,,,,,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,Midodrine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Counseling
,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,,,,0.0,,0.0,0.0,,,,,,,,0.0,Tavegyl
,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,,,0.0,,,0.0,0.0,,,,,,,,0.0,rebounding
,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,,0.0,,,,Iodine
,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,,,,,,,,0.0,Aromatherapy
,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,,,0.0,0.0,,0.0,,,,,,,,,0.0,LUSH acne spot-treatment
2.0,0.0,,0.0,,,0.0,,,2.0,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,,cough syrup
2.0,0.0,,0.0,,,0.0,,,2.0,,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,0.0,,Rest
,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,,,,0.0,,,,Vitamin b12
2.0,0.0,,0.0,,,0.0,,,2.0,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,,Sleep
,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,,,,,,electric wheelchair
2.0,0.0,,0.0,,,0.0,,,2.0,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,Steps
2.0,0.0,,0.0,,,0.0,,,2.0,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,0.0,,,Meditation
,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,massage
