Diazepam,Metoprolol,Tretinoin,Ritalin,BeachBody OnDemand,Aleve,L-methylfolate,Caffeine,Provigil,Feverfew,Amitryptiline,Naproxen,Omeprazole,Levothyroxine,birth control,Aspirin,Solifenacin,Hydrocortisone,Acetaminophen plus Codeine Number 3,sugar free diet,Fluoxetine,Viibryd,Armodafinil,digestive enzyme,Keppra,gluten free,excedrin migraine,Fruit,Plaquenil,elliptical,Exercise--walking,gluten free diet,Piyo,Topical ibuprofen,Cyclizine,Wore arch supports all day,Probiotic,Cabergoline,Inderal,Stretching,TigerBalm,Megaspore,cocodamol,Glucosamine,Multivitamin,5 or more portions of fruit and veg,Adderall,Cambia,Gabapentin,Medication,Migraine Diet,Low-FODMAP diet,wear mask,Florinef,Cranberry extract,Vitamin b12,colofac mr,Sleep,massage,Ibuprofen,Meditation,Passionflower,Lexapro,Pristiq,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,Diazepam
,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,Metoprolol
,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tretinoin
,,,,2.0,,,,,2.0,,,,,,,2.0,2.0,,,,,,2.0,,,,,,,,,2.0,,2.0,,2.0,,,,2.0,,,,,,,,,,,,,2.0,,2.0,,,,,,2.0,,,Ritalin
,,,2.0,,,,,,0.0,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,,,0.0,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,BeachBody OnDemand
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,Aleve
,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,0.0,,L-methylfolate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caffeine
,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,Provigil
,,,2.0,0.0,,,,,,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,,,0.0,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,Feverfew
,0.0,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,Amitryptiline
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Naproxen
,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,0.0,,,,,,,,,,,2.0,,,2.0,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,Omeprazole
,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,Levothyroxine
,,,,,,0.0,,,,,,,,,0.0,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,0.0,,birth control
,,,,,,0.0,,,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,0.0,,Aspirin
,,,2.0,0.0,,,,,0.0,,,,,,,,0.0,,,,,,0.0,,,,,,,,,0.0,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,Solifenacin
,,,2.0,0.0,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,Hydrocortisone
,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,0.0,,,0.0,,,,,,,,2.0,2.0,2.0,2.0,,,,2.0,,,,,,,,Acetaminophen plus Codeine Number 3
,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,0.0,,sugar free diet
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fluoxetine
,0.0,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,Viibryd
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armodafinil
,,,2.0,0.0,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,digestive enzyme
,,,,,,0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,0.0,,Keppra
,0.0,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,gluten free
,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,excedrin migraine
,,,,,,,,,,,,0.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,Fruit
,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,Plaquenil
