Rowing machine,Flexeril,Morphine,Mt. Si ACDC 2x Coco Caps,Noritriptyline,Cefaly Unit,Colpermin,Weighted Blanket,Fentanyl,Vitamin,Headspace,breathing exercises,Quell,Buffered Salmon Oil - DHA - EPA,Nortriptyline,Tetralabs Gold Caps,Yoga,Esopram,Boswelia Complex,Tetralabs Gold Caps CBN,row
,,,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,2.0,,Rowing machine
,,,0.0,,2.0,,2.0,,0.0,,,,,,2.0,,2.0,,2.0,Flexeril
,,,,,,,,,,,,,,,,,,,,Morphine
,0.0,,,,2.0,,,,,,,,,,2.0,,,,2.0,Mt. Si ACDC 2x Coco Caps
0.0,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,2.0,,Noritriptyline
,2.0,,2.0,,,,,,,,,,,,0.0,,,,0.0,Cefaly Unit
0.0,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,2.0,,Colpermin
,2.0,,,,,,,,2.0,,,,,,,,0.0,,,Weighted Blanket
,,,,,,,,,,,,,,,,,,,,Fentanyl
,0.0,,,,,,2.0,,,,,,,,,,2.0,,,Vitamin
0.0,,,,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,2.0,,Headspace
0.0,,,,0.0,,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,,2.0,,breathing exercises
0.0,,,,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,2.0,,Quell
0.0,,,,0.0,,0.0,,,,0.0,0.0,0.0,,0.0,,0.0,,2.0,,Buffered Salmon Oil - DHA - EPA
0.0,,,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,,2.0,,Nortriptyline
,2.0,,2.0,,0.0,,,,,,,,,,,,,,0.0,Tetralabs Gold Caps
0.0,,,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,,2.0,,Yoga
,2.0,,,,,,0.0,,2.0,,,,,,,,,,,Esopram
2.0,,,,2.0,,2.0,,,,2.0,2.0,2.0,2.0,2.0,,2.0,,,,Boswelia Complex
,2.0,,2.0,,0.0,,,,,,,,,,0.0,,,,,Tetralabs Gold Caps CBN
