neck pain,uneventful,thirsty,tired,sleepy,foccacia,painful knees,had sex,sas,Showered,chilled with friends,Relaxing,voted,painful back,low blood sugar,gal meeting,immoble,cancelled 1 of 2 meetings,Bloated,stressed,laundry,grapes,shopped,television,bath with epsom salt,swept floor,stiff,doctor appointment,hungry,walked,Sad,12K Steps,pineapple,It was a bad idea,knee pain,row
,,,,,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,0.0,,0.0,2.0,,2.0,0.0,0.0,,0.0,,,,,0.0,neck pain
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uneventful
,,,0.0,,,,,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,0.0,,thirsty
,,0.0,,,,,,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,0.0,,tired
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sleepy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,foccacia
0.0,,,,,,,,,0.0,,,0.0,0.0,0.0,,,,,,0.0,,0.0,2.0,,2.0,0.0,0.0,,0.0,,,,,0.0,painful knees
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,had sex
,,0.0,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,0.0,,sas
0.0,,,,,,0.0,,,,,,0.0,0.0,0.0,,,,,,0.0,,0.0,2.0,,2.0,0.0,0.0,,0.0,,,,,0.0,Showered
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chilled with friends
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relaxing
0.0,,,,,,0.0,,,0.0,,,,0.0,0.0,,,,,,0.0,,0.0,2.0,,2.0,0.0,0.0,,0.0,,,,,0.0,voted
0.0,,,,,,0.0,,,0.0,,,0.0,,0.0,,,,,,0.0,,0.0,2.0,,2.0,0.0,0.0,,0.0,,,,,0.0,painful back
0.0,,,,,,0.0,,,0.0,,,0.0,0.0,,,,,,,0.0,,0.0,2.0,,2.0,0.0,0.0,,0.0,,,,,0.0,low blood sugar
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gal meeting
,,0.0,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,0.0,,immoble
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cancelled 1 of 2 meetings
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bloated
,,0.0,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,0.0,,stressed
0.0,,,,,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,0.0,2.0,,2.0,0.0,0.0,,0.0,,,,,0.0,laundry
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grapes
0.0,,,,,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,0.0,,,2.0,,2.0,0.0,0.0,,0.0,,,,,0.0,shopped
2.0,,,,,,2.0,,,2.0,,,2.0,2.0,2.0,,,,,,2.0,,2.0,,,0.0,2.0,2.0,,2.0,,,,,2.0,television
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bath with epsom salt
2.0,,,,,,2.0,,,2.0,,,2.0,2.0,2.0,,,,,,2.0,,2.0,0.0,,,2.0,2.0,,2.0,,,,,2.0,swept floor
0.0,,,,,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,0.0,,0.0,2.0,,2.0,,0.0,,0.0,,,,,0.0,stiff
0.0,,,,,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,0.0,,0.0,2.0,,2.0,0.0,,,0.0,,,,,0.0,doctor appointment
,,0.0,0.0,,,,,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,0.0,,hungry
0.0,,,,,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,0.0,,0.0,2.0,,2.0,0.0,0.0,,,,,,,0.0,walked
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sad
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12K Steps
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pineapple
,,0.0,0.0,,,,,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,It was a bad idea
0.0,,,,,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,0.0,,0.0,2.0,,2.0,0.0,0.0,,0.0,,,,,,knee pain
