Diazepam,Medications,AM meds,Midodrine,gluten free diet,physical therapy,Fluvoxamine,L-methylfolate,MitoQ ,Oestrogel,Sunlight,had sex,Florinef,Tavegyl,Zolpidem,Yoga,mountain biking,Exercise,Aspirin,Omega-3 Capsules,Methylphenidate,Keppra,Exercise--walking,Dermatologist,Venlafaxine,Plaquenil,counselor,psychiatrists,Prontolax Supp,exercise,Chiropractic,Vitamin d,Tyrosine,Topiramate,Gabapentine,Ropinirole,Magnesium,Glucosamine,Love,Cambia,Cleaning ,Gabapentin,Mersyndol Forte,Walking,Medication,neuro,Voltaren,Nortriptyline,banana,Hydrocortisone,Ultrasound,Coenzyme q-10,massage,Ibuprofen,Meditation,Pristiq,Lexapro,Pantoprazole,row
,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,0.0,2.0,,,,,,,,,,,,,,,0.0,,2.0,0.0,2.0,2.0,,,,,,,,,,0.0,0.0,2.0,0.0,2.0,,Diazepam
,,,,,0.0,,,,,,,,,,0.0,,2.0,,,,,,0.0,,,2.0,2.0,,,0.0,2.0,,,,,,,,,,,,2.0,0.0,2.0,,,,,,2.0,,,,,,,Medications
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AM meds
,,,,2.0,,0.0,,,,,,,2.0,,2.0,0.0,2.0,,,2.0,,,,,2.0,,,,,2.0,,0.0,0.0,,2.0,0.0,,0.0,,,,,,,,0.0,,,,2.0,,,,,,,,Midodrine
,,,2.0,,,2.0,,,,,,,0.0,,0.0,2.0,0.0,,,0.0,,,,,0.0,,,,,0.0,,2.0,2.0,,0.0,2.0,,2.0,,,,,,,,2.0,,,,0.0,,,,,,,,gluten free diet
,0.0,,,,,,,,,,,,,,0.0,,2.0,,,,,,0.0,,,2.0,2.0,,,0.0,2.0,,,,,,,,,,,,2.0,0.0,2.0,,,,,,2.0,,,,,,,physical therapy
,,,0.0,2.0,,,,,,,,,2.0,,2.0,0.0,2.0,,,2.0,,,,,2.0,,,,,2.0,,0.0,0.0,,2.0,0.0,,0.0,,,,,,,,0.0,,,,2.0,,,,,,,,Fluvoxamine
0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,0.0,2.0,,,,,,,,,,,,,,,0.0,,2.0,0.0,2.0,2.0,,,,,,,,,,0.0,0.0,2.0,0.0,2.0,,L-methylfolate
,,,,,,,,,0.0,,2.0,0.0,,0.0,,,,,0.0,,,,,0.0,,,,0.0,2.0,,,,,0.0,,,,,,,,,,,,,0.0,2.0,0.0,,,,,,,,0.0,MitoQ 
,,,,,,,,0.0,,,2.0,0.0,,0.0,,,,,0.0,,,,,0.0,,,,0.0,2.0,,,,,0.0,,,,,,,,,,,,,0.0,2.0,0.0,,,,,,,,0.0,Oestrogel
0.0,,,,,,,0.0,,,,,,,,,,,0.0,,,0.0,2.0,,,,,,,,,,,,,,,0.0,,2.0,0.0,2.0,2.0,,,,,,,,,,0.0,0.0,2.0,0.0,2.0,,Sunlight
,,,,,,,,2.0,2.0,,,2.0,,2.0,,,,,2.0,,,,,2.0,,,,2.0,0.0,,,,,2.0,,,,,,,,,,,,,2.0,0.0,2.0,,,,,,,,2.0,had sex
,,,,,,,,0.0,0.0,,2.0,,,0.0,,,,,0.0,,,,,0.0,,,,0.0,2.0,,,,,0.0,,,,,,,,,,,,,0.0,2.0,0.0,,,,,,,,0.0,Florinef
,,,2.0,0.0,,2.0,,,,,,,,,0.0,2.0,0.0,,,0.0,,,,,0.0,,,,,0.0,,2.0,2.0,,0.0,2.0,,2.0,,,,,,,,2.0,,,,0.0,,,,,,,,Tavegyl
,,,,,,,,0.0,0.0,,2.0,0.0,,,,,,,0.0,,,,,0.0,,,,0.0,2.0,,,,,0.0,,,,,,,,,,,,,0.0,2.0,0.0,,,,,,,,0.0,Zolpidem
,0.0,,2.0,0.0,0.0,2.0,,,,,,,0.0,,,2.0,1.27166683024,,,0.0,,,0.0,,0.0,2.0,2.0,,,0.00731872717053,2.0,2.0,2.0,,0.0,2.0,,2.0,,,,,2.0,0.0,2.0,2.0,,,,0.0,2.0,,,,,,,Yoga
,,,0.0,2.0,,0.0,,,,,,,2.0,,2.0,,2.0,,,2.0,,,,,2.0,,,,,2.0,,0.0,0.0,,2.0,0.0,,0.0,,,,,,,,0.0,,,,2.0,,,,,,,,mountain biking
,2.0,,2.0,0.0,2.0,2.0,,,,,,,0.0,,1.27166683024,2.0,,,,0.0,,,2.0,,0.0,0.0,0.0,,,1.15345655608,0.0,2.0,2.0,,0.0,2.0,,2.0,,,,,0.0,2.0,0.0,2.0,,,,0.0,0.0,,,,,,,Exercise
0.0,,,,,,,0.0,,,0.0,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,0.0,,2.0,0.0,2.0,2.0,,,,,,,,,,0.0,0.0,2.0,0.0,2.0,,Aspirin
,,,,,,,,0.0,0.0,,2.0,0.0,,0.0,,,,,,,,,,0.0,,,,0.0,2.0,,,,,0.0,,,,,,,,,,,,,0.0,2.0,0.0,,,,,,,,0.0,Omega-3 Capsules
,,,2.0,0.0,,2.0,,,,,,,0.0,,0.0,2.0,0.0,,,,,,,,0.0,,,,,0.0,,2.0,2.0,,0.0,2.0,,2.0,,,,,,,,2.0,,,,0.0,,,,,,,,Methylphenidate
0.0,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,,2.0,,,,,,,,,,,,,,,0.0,,2.0,0.0,2.0,2.0,,,,,,,,,,0.0,0.0,2.0,0.0,2.0,,Keppra
