Triamcinolone,slept in,decent sleep,lots of walking,hiking,no sleep last night,climbed stairs,nap,wore bad shoes,Superlong nap,Ativan,walked,Daytime nap,Essential oils,benadryl ,exercise,no sleep,slept late,ate breakfast,Aspirin,row
,,,,,,,,,,,,,,,,,,,,Triamcinolone
,,,,,,,,,,,,,,,,,,,,slept in
,,,,,,,,,,,,,,,,,,,,decent sleep
,,,,,,,,,,,,,,,,,,,,lots of walking
,,,,,,,,,,,,,,,,,,,,hiking
,,,,,,,,,,,,,,,,,,,,no sleep last night
,,,,,,,,,,,,,,,,,,,,climbed stairs
,,,,,,,,,,,,,,,,,,,,nap
,,,,,,,,,,,,,,,,,,,,wore bad shoes
,,,,,,,,,,,,,,,,,,1.0,,Superlong nap
,,,,,,,,,,,,,,,,,,,,Ativan
,,,,,,,,,,,,,,,,,,,,walked
,,,,,,,,,,,,,,,,,,,,Daytime nap
,,,,,,,,,,,,,,,,,,,,Essential oils
,,,,,,,,,,,,,,,,,,,,benadryl 
,,,,,,,,,,,,,,,,,,,,exercise
,,,,,,,,,,,,,,,,,,,,no sleep
,,,,,,,,,,,,,,,,,,,,slept late
,,,,,,,,,1.0,,,,,,,,,,,ate breakfast
,,,,,,,,,,,,,,,,,,,,Aspirin
