Vitamins,MitoQ ,Caffeine,Tylenol 3,Cannabis,anti-diarrhea med,Omega-3 Capsules,digestive enzyme,vitamin D tablets,Feverfew,DEHA,Methylcobalamine,Mt. Si ACDC 2x Coco Caps,Probiotic,rebounding,Coenzyme q-10,Stretching,TigerBalm,THC,Turmeric,Flexeril,Guarana & Ginseng,Fish oil,Piyo,AOR Zinc-Copper Balance,Ritalin,Aleve,Fentanyl,Oestrogel,Tizanidine,exercise - dancing,Compression Stockings,Acetaminophen,Zolpidem,Solifenacin,Low oxalate,methyl B12,Vitamin B2,Biotin,Carbomer eye drops,Venlafaxine,exercise,Tetralabs Gold Caps CBN,Buffered Salmon Oil - DHA - EPA,Equilibrant,Vitamin C,Tavegyl,Sisu B Calm,WomenSense AdrenaSense Adrenal Formula,Cetirizine,had sex,Surgical repair of injured shoulder ,Thyroid-Pro,Ginger,Hydrocortisone,Vitamin b12,Vitamin d,Curcumin,Tolterodine,Probiotic Pearls,physical therapy,Echinacea,Albuterol Inhaler,Florinef,Diphenhydramine,BeachBody OnDemand,Ribose,Therapy,Ibuprophen,Plaquenil,CoQ10,Morphine,SAM-E,Trigger Points,Calcium citrate,Garden of Life Raw Meal,alverine,Folic acid,Thyroid-Pro (CanPrev),b12 spray,Aromatherapy,stool softener,banana,magnesium ionic,Ibuprofen,Nortriptyline,Alcohol,Migraine Diet,Naltrexone,Cyclizine,Provigil,Valacyclovir,Pantoprazole,5-htp,Forever Aloe Berry,Darifenacin,Cetirizine hydrochloride,B12 timed release,LUSH acne spot-treatment,Monteluklast,gluten free,Ubiquinol,Tetralabs Gold Caps,Prontolax Supp,flu vaccine injection,Benadryl,nsaid,Ranitidine,Cerelle,Gabapentine,Support worker assistance,Adderall,catheter,Cetraben cream,Azathioprine,Heating Pad,massage,Passionflower,Resrticted diet,Pristiq,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,0.0,,0.0,,,,,,,,Vitamins
,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,0.0,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,MitoQ 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,Caffeine
,,,,0.0,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,0.0,,,,Tylenol 3
,,,0.0,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,0.0,,,,Cannabis
,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,anti-diarrhea med
,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,0.0,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,Omega-3 Capsules
,,,,,,,,,2.0,,,,2.0,,,,2.0,,,,,,2.0,,0.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,digestive enzyme
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitamin D tablets
,,,,,,,2.0,,,,,,0.00057626145291,,,,0.0,,,,2.0,,0.0,,1.99255982765,,,,,,,,,0.173110849369,,,,,2.0,,,,,,,,,,,,,,2.0,2.0,0.00057626145291,,,,,,,,2.0,,0.0,2.0,,,,,,2.0,,,,2.0,,,,,,,,,,,,,0.000491857857975,,,,,,2.0,,,,2.0,,,,,,,,,0.0,,,,,2.0,,,,0.00057626145291,,,Feverfew
