Diazepam,Multivitamin,sugar free diet,elliptical,L-methylfolate,Pristiq,Keppra,Exercise--walking,massage,Glucosamine,Ibuprofen,birth control,Meditation,Aspirin,Cambia,Lexapro,Gabapentin,row
,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,Diazepam
0.0,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,Multivitamin
,,,,,,,,,,,,,,,,,sugar free diet
,,,,,,,,,,,,,,,,,elliptical
0.0,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,L-methylfolate
0.0,0.0,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,Pristiq
0.0,0.0,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,Keppra
,,,,,,,,,,,,,,,,,Exercise--walking
0.0,0.0,,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,massage
0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,2.0,0.0,0.0,Glucosamine
,,,,,,,,,,,,,,,,,Ibuprofen
0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,2.0,0.0,0.0,birth control
0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,2.0,0.0,0.0,Meditation
0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,2.0,0.0,0.0,Aspirin
2.0,2.0,,,2.0,2.0,2.0,,2.0,2.0,,2.0,2.0,2.0,,2.0,2.0,Cambia
0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,,0.0,Lexapro
0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,,Gabapentin
