Nasal spray,Azathioprine,Contraceptive pill,Ibuprofen 600mg,Citalopram,Pentasa,Selenium,Vitamin C,physical therapy,co-tenidone,Levothyroxine,Excedrin,Multi-vitamin,row
,,0.0,,,,2.0,2.0,,,2.0,,0.0,Nasal spray
,,,,0.0,0.0,,,,0.0,,,,Azathioprine
0.0,,,,,,2.0,2.0,,,2.0,,0.0,Contraceptive pill
,,,,,,,,,,,0.0,,Ibuprofen 600mg
,0.0,,,,0.0,,,,0.0,,,,Citalopram
,0.0,,,0.0,,,,,0.0,,,,Pentasa
2.0,,2.0,,,,,0.0110495480707,,,0.0119873448858,,2.0,Selenium
2.0,,2.0,,,,0.0110495480707,,,,1.92065780171e-05,,2.0,Vitamin C
,,,,,,,,,,,,,physical therapy
,0.0,,,0.0,0.0,,,,,,,,co-tenidone
2.0,,2.0,,,,0.0119873448858,1.92065780171e-05,,,,,2.0,Levothyroxine
,,,0.0,,,,,,,,,,Excedrin
0.0,,0.0,,,,2.0,2.0,,,2.0,,,Multi-vitamin
