Triamcinolone,masturbated,Vitamins,Migraine Diet,Language Learning,Fluids,wear mask,tumblr,Albuterol Inhaler,church,Slept well,Extra Medications,ate breakfast,danced,colofac mr,ASMR,Coffee,busy,Medical Marijuana,sitting,espresso,hot,Daily walk,housework,Fruit,Exercise--walking,SPD alternative treatments,Weather- rain,Therapy,catered food,long sleep,Benadryl,coffee,Aloe Detox Water,Ranitidine,Pet Therapy,Medical marijuana,Calcium citrate,breathing exercises,Essential oils,slept 12 hours,Low-FODMAP diet,pasta,bunny cuddles,worked,ate dairy ,ramen,Turmeric,Vitamin C,Medication,Cetirizine,Cinema,studied,shower,no sleep,exercise,Vitamin d,had sex,Meditation,13k steps,low protein,massage,TENS Unit,row
,,,,,,,2.0,,2.0,,,,,,,,,,0.0,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,2.0,,,2.0,,,,,,,2.0,,,,,,,,,,Triamcinolone
,,,,,,,,2.0,,,,0.0,2.0,,,,,,,,,,2.0,,,,,,,,2.0,,,0.0,,,2.0,,,,,0.0,,0.0,,,2.0,0.0,,0.0,,,,,,2.0,,,,0.0,,,masturbated
,,,,0.0,2.0,,,,2.0,,0.0,,,,0.0,0.0,2.0,0.0,,2.0,,2.0,,,2.0,0.0,0.0,2.0,,,,2.0,0.0,,0.0,2.0,,2.0,0.0,2.0,,,,,,,2.0,,0.0,,,,,0.0,,,,0.0,,,0.0,0.0,Vitamins
,,,,,,0.0,,,,2.0,,2.0,,0.0,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,0.0,,,,,,,,0.0,,2.0,2.0,,,,,2.0,,0.0,,,,Migraine Diet
,,0.0,,,2.0,,,,2.0,,0.0,,,,0.0,0.0,2.0,0.0,,2.0,,2.0,,,2.0,0.0,0.0,2.0,,,,2.0,0.0,,0.0,2.0,,2.0,0.0,2.0,,,,,,,2.0,,0.0,,,,,0.0,,,,0.0,,,0.0,0.0,Language Learning
,,2.0,,2.0,,,,,0.0,,2.0,,,,2.0,2.0,0.0,2.0,,0.0,,0.0,,,0.0,2.0,2.0,0.0,,,,0.0,2.0,,2.0,0.0,,0.0,2.0,0.0,,,,,,,0.0,,2.0,,,,,2.0,,,,2.0,,,2.0,2.0,Fluids
,,,0.0,,,,,,,2.0,,2.0,,0.0,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,0.0,,,,,,,,0.0,,2.0,2.0,,,,,2.0,,0.0,,,,wear mask
2.0,,,,,,,,,0.0,,,,,,,,,,2.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,,,,,,,tumblr
,2.0,,,,,,,,,,,2.0,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,2.0,,,0.0,,,,,2.0,,2.0,,,0.0,2.0,,2.0,,,,,,0.0,,,,2.0,,,Albuterol Inhaler
2.0,,2.0,,2.0,0.0,,0.0,,,,2.0,,,,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,,,0.0,2.0,2.0,0.0,,0.0,,0.0,2.0,,2.0,0.0,,0.0,2.0,0.0,,,0.0,,,0.0,0.0,,2.0,,,,0.0,2.0,,,,2.0,,,2.0,2.0,church
