colofac mr,Tetralabs Gold Caps CBN,Flexeril,Ritalin,Mt. Si ACDC 2x Coco Caps,Migraine Diet,Inderal,Risperidone,wear mask,Medication,Megaspore,Fruit,Lamictal,Omeprazole,Low-FODMAP diet,Acetaminophen plus Codeine Number 3,Deep Breathing,Meditation,Tetralabs Gold Caps,row
,,,,,0.0,0.0,,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,,,,colofac mr
,,,,,,,,,,,,,,,,,,,Tetralabs Gold Caps CBN
,,,,,,,,,,,,,,,,,,,Flexeril
,,,,,,,,,,,,,,,,,,,Ritalin
,,,,,,,,,,,,,,,,,,,Mt. Si ACDC 2x Coco Caps
0.0,,,,,,0.0,,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,,,,Migraine Diet
0.0,,,,,0.0,,,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,,,,Inderal
,,,,,,,,,,,,,,,,,,,Risperidone
0.0,,,,,0.0,0.0,,,0.0,0.0,2.0,,0.0,0.0,0.0,,,,wear mask
0.0,,,,,0.0,0.0,,0.0,,0.0,2.0,,0.0,0.0,0.0,,,,Medication
0.0,,,,,0.0,0.0,,0.0,0.0,,2.0,,0.0,0.0,0.0,,,,Megaspore
2.0,,,,,2.0,2.0,,2.0,2.0,2.0,,,2.0,2.0,2.0,,,,Fruit
,,,,,,,,,,,,,,,,,,,Lamictal
0.0,,,,,0.0,0.0,,0.0,0.0,0.0,2.0,,,0.0,0.0,,,,Omeprazole
0.0,,,,,0.0,0.0,,0.0,0.0,0.0,2.0,,0.0,,0.0,,,,Low-FODMAP diet
0.0,,,,,0.0,0.0,,0.0,0.0,0.0,2.0,,0.0,0.0,,,,,Acetaminophen plus Codeine Number 3
,,,,,,,,,,,,,,,,,0.0,,Deep Breathing
,,,,,,,,,,,,,,,,0.0,,,Meditation
,,,,,,,,,,,,,,,,,,,Tetralabs Gold Caps
