cashews,Escitalopram,Flexeril,Slept most of the day,Mt. Si ACDC 2x Coco Caps,Cefaly Unit,Weighted Blanket,Vitamin,skipped lunch,travel,nap,Seeds,slept all night,Magnesium,gluten,Tetralabs Gold Caps,ate almonds,Esopram,Ate crab,ate breakfast,Tetralabs Gold Caps CBN,row
,,,,,,,,,,,,,,,,,,,,,cashews
,,,,,,,,,,,,,,,,,,,,,Escitalopram
,,,,,,,,,,,,,,,,,,,,,Flexeril
,,,,,,,,,,,,,,,,,,,,,Slept most of the day
,,,,,,,,,,,,,,,,,,,,,Mt. Si ACDC 2x Coco Caps
,,,,,,,,,,,,,,,,,,,,,Cefaly Unit
,,,,,,,,,,,,,,,,,,,,,Weighted Blanket
,,,,,,,,,,,,,,,,,,,,,Vitamin
,,,,,,,,,,,,,,,,,,,,,skipped lunch
,,,,,,,,,,,,,,,,,,,,,travel
,,,,,,,,,,,,,,,,,,,,,nap
,,,,,,,,,,,,,,,,,,,,,Seeds
,,,,,,,,,,,,,,,,,,,,,slept all night
,,,,,,,,,,,,,,,,,,,,,Magnesium
,,,,,,,,,,,,,,,,,,,,,gluten
,,,,,,,,,,,,,,,,,,,,,Tetralabs Gold Caps
,,,,,,,,,,,,,,,,,,,,,ate almonds
,,,,,,,,,,,,,,,,,,,,,Esopram
,,,,,,,,,,,,,,,,,,,,,Ate crab
,,,,,,,,,,,,,,,,,,,,,ate breakfast
,,,,,,,,,,,,,,,,,,,,,Tetralabs Gold Caps CBN
