Dicyclomine,Tretinoin,AM meds,Phyical Therapy - stretches,Osteopathy,Butterbur,Florinef,Metformin,Exercise,Hydrocortisone,Fexofenadine,Relaxing,Zolmitriptan,Clinda-derm,Ubiquinol,Valerian,Achy breaky rub,distraction,Sertraline,Benadryl,Enada,Social interactions,Hobbies,Brintellix,SAD Light Box,Progesterone,Vitamin B,Medication,Tranexamic acid,Mirtazapine,Flexeril,excedrin migraine,Zomig,Montelukast,Sleep,Vitamin d,Corticosteroids,Pantoprazole,row
,0.0,,,0.0,0.0,,,,,0.0,,2.0,0.0,0.0,2.0,,,,2.0,0.0,,,,,,,,,,0.0,,,0.0,,0.0,0.0,,Dicyclomine
0.0,,,,0.0,0.0,,,,,0.0,,2.0,0.0,0.0,2.0,,,,2.0,0.0,,,,,,,,,,0.0,,,0.0,,0.0,0.0,,Tretinoin
,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AM meds
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phyical Therapy - stretches
0.0,0.0,,,,0.0,,,,,0.0,,2.0,0.0,0.0,2.0,,,,2.0,0.0,,,,,,,,,,0.0,,,0.0,,0.0,0.0,,Osteopathy
0.0,0.0,,,0.0,,,,,,0.0,,2.0,0.0,0.0,2.0,,,,2.0,0.0,,,,,,,,,,0.0,,,0.0,,0.0,0.0,,Butterbur
,,2.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Florinef
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metformin
,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,,0.0,,,,,2.0,,,,,0.0,,,,Exercise
,,2.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hydrocortisone
0.0,0.0,,,0.0,0.0,,,,,,,2.0,0.0,0.0,2.0,,,,2.0,0.0,,,,,,,,,,0.0,,,0.0,,0.0,0.0,,Fexofenadine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relaxing
2.0,2.0,,,2.0,2.0,,,,,2.0,,,2.0,2.0,0.0,,,,0.0,2.0,,,,,,,,,,2.0,,,2.0,,2.0,2.0,,Zolmitriptan
0.0,0.0,,,0.0,0.0,,,,,0.0,,2.0,,0.0,2.0,,,,2.0,0.0,,,,,,,,,,0.0,,,0.0,,0.0,0.0,,Clinda-derm
0.0,0.0,,,0.0,0.0,,,,,0.0,,2.0,0.0,,2.0,,,,2.0,0.0,,,,,,,,,,0.0,,,0.0,,0.0,0.0,,Ubiquinol
2.0,2.0,,,2.0,2.0,,,,,2.0,,0.0,2.0,2.0,,,,,0.0,2.0,,,,,,,,,,2.0,,,2.0,,2.0,2.0,,Valerian
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Achy breaky rub
,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,0.0,,0.0,,,,,2.0,,,,,0.0,,,,distraction
,,,,,,,,0.0,,,,,,,,,0.0,,,,0.0,0.0,,0.0,,,,,2.0,,,,,0.0,,,,Sertraline
2.0,2.0,,,2.0,2.0,,,,,2.0,,0.0,2.0,2.0,0.0,,,,,2.0,,,,,,,,,,2.0,,,2.0,,2.0,2.0,,Benadryl
0.0,0.0,,,0.0,0.0,,,,,0.0,,2.0,0.0,0.0,2.0,,,,2.0,,,,,,,,,,,0.0,,,0.0,,0.0,0.0,,Enada
,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,0.0,,0.0,,,,,2.0,,,,,0.0,,,,Social interactions
,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,0.0,,,0.0,,,,,2.0,,,,,0.0,,,,Hobbies
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brintellix
,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,,,,2.0,,,,,0.0,,,,SAD Light Box
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Progesterone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamin B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medication
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tranexamic acid
,,,,,,,,2.0,,,,,,,,,2.0,2.0,,,2.0,2.0,,2.0,,,,,,,,,,2.0,,,,Mirtazapine
0.0,0.0,,,0.0,0.0,,,,,0.0,,2.0,0.0,0.0,2.0,,,,2.0,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,,Flexeril
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,excedrin migraine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zomig
0.0,0.0,,,0.0,0.0,,,,,0.0,,2.0,0.0,0.0,2.0,,,,2.0,0.0,,,,,,,,,,0.0,,,,,0.0,0.0,,Montelukast
,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,0.0,0.0,,0.0,,,,,2.0,,,,,,,,,Sleep
0.0,0.0,,,0.0,0.0,,,,,0.0,,2.0,0.0,0.0,2.0,,,,2.0,0.0,,,,,,,,,,0.0,,,0.0,,,0.0,,Vitamin d
0.0,0.0,,,0.0,0.0,,,,,0.0,,2.0,0.0,0.0,2.0,,,,2.0,0.0,,,,,,,,,,0.0,,,0.0,,0.0,,,Corticosteroids
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pantoprazole
