Yoga,gluten free diet,Fluvoxamine,hot water bottle,Burbur-Pinella,Vicodin,Low Dose Naltrexone,Tyrosine,Prednisone,Methylphenidate,Lavender oil,N-acetyl cysteine,Plaquenil,Magnesium malate,Green Vibrance,Epsom Salts,Seasonique,Topiramate,Voltaren,Magnesium,Midodrine,Selenium,Gaba,Maxalt,CuraMed,Cane to get down stairs,Ibuprofen,Inositol,massage,Ropinirole,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yoga
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gluten free diet
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fluvoxamine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hot water bottle
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Burbur-Pinella
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vicodin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low Dose Naltrexone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tyrosine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prednisone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Methylphenidate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lavender oil
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N-acetyl cysteine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plaquenil
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magnesium malate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Green Vibrance
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epsom Salts
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seasonique
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Topiramate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Voltaren
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magnesium
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Midodrine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selenium
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaba
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maxalt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CuraMed
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cane to get down stairs
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ibuprofen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inositol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,massage
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ropinirole
