Solifenacin,Superlong nap,Ritalin,amphetamine salts,Probiotic,slept not alone,Cyclizine,went to bed too late,scary new shit,Gelatin,Vitamin b12,Feverfew,Carbomer eye drops,Cerelle,Borage oil,dairy,Passionflower,had sex last night,Cetraben cream,row
,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,Solifenacin
0.0,,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,Superlong nap
0.0,0.0,,,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,Ritalin
,,,,,,,,,2.0,,,,,2.0,,,,,amphetamine salts
0.0,0.0,0.0,,,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,Probiotic
0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,slept not alone
0.0,0.0,0.0,,0.0,0.0,,0.0,2.0,,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,Cyclizine
0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,went to bed too late
2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,0.0,2.0,2.0,2.0,scary new shit
,,,2.0,,,,,,,,,,,0.0,,,,,Gelatin
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,,,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,Vitamin b12
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,,0.0,0.0,,2.0,0.0,0.0,0.0,Feverfew
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,,0.0,,2.0,0.0,0.0,0.0,Carbomer eye drops
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,,,2.0,0.0,0.0,0.0,Cerelle
,,,2.0,,,,,,0.0,,,,,,,,,,Borage oil
2.0,2.0,2.0,,2.0,2.0,2.0,2.0,0.0,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,dairy
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,,2.0,,0.0,0.0,Passionflower
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,,2.0,0.0,,0.0,had sex last night
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,,Cetraben cream
