Ritalin,BeachBody OnDemand,Fluvoxamine,Cyclizine,Cold Pack,Florinef,Amitriptyline,Yoga,mountain biking,Exercise,Tyrosine,Solifenacin,Prednisolone,Methylphenidate,gluten free diet,digestive enzyme,Ingefära,Fludrocortisone,Feverfew,Plaquenil,Piyo,Multi vitamin,Probiotic,Chiropractic,Ligament Restore,TigerBalm,Vitamin C,Voltaren,Magnesium,Midodrine,Tavegyl,Passionflower,Love,Methylprednisolone,Ginger,Hydrocortisone,Ultrasound,Vitamin b12,Topiramate,PeaPure,Ropinirole,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ritalin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeachBody OnDemand
,,,,,,,2.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,,,,2.0,,,,0.0,0.0,0.0,2.0,,0.0,,,,0.0,,0.0,,0.0,Fluvoxamine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cyclizine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cold Pack
,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,Florinef
,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,2.0,,,,,,,,,,,,,,,Amitriptyline
,,2.0,,,,,,2.0,2.0,2.0,,,2.0,2.0,,,,,2.0,,,,0.0,,,,2.0,2.0,2.0,0.0,,2.0,,,,2.0,,2.0,,2.0,Yoga
,,0.0,,,,,2.0,,0.0,0.0,,,0.0,0.0,,,,,0.0,,,,2.0,,,,0.0,0.0,0.0,2.0,,0.0,,,,0.0,,0.0,,0.0,mountain biking
,,0.0,,,,,2.0,0.0,,0.0,,,0.0,0.0,,,,,0.0,,,,2.0,,,,0.0,0.0,0.0,2.0,,0.0,,,,0.0,,0.0,,0.0,Exercise
,,0.0,,,,,2.0,0.0,0.0,,,,0.0,0.0,,,,,0.0,,,,2.0,,,,0.0,0.0,0.0,2.0,,0.0,,,,0.0,,0.0,,0.0,Tyrosine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Solifenacin
,,,,,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,Prednisolone
,,0.0,,,,,2.0,0.0,0.0,0.0,,,,0.0,,,,,0.0,,,,2.0,,,,0.0,0.0,0.0,2.0,,0.0,,,,0.0,,0.0,,0.0,Methylphenidate
,,0.0,,,,,2.0,0.0,0.0,0.0,,,0.0,,,,,,0.0,,,,2.0,,,,0.0,0.0,0.0,2.0,,0.0,,,,0.0,,0.0,,0.0,gluten free diet
,,,,,0.0,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,digestive enzyme
,,,,,0.0,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,Ingefära
,,,,,0.0,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,Fludrocortisone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feverfew
