Triamcinolone Lotion,Humira,Prednisone,Hemorrhoid Cream,Flonase,Sauna,Vitamin C,Iron,Inflamma-blox,Triamcinolone Cream,row
,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,Triamcinolone Lotion
0.0,,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,Humira
2.0,2.0,,0.0,2.0,0.0,0.0,2.0,2.0,0.0,Prednisone
2.0,2.0,0.0,,2.0,0.0,0.0,2.0,2.0,0.0,Hemorrhoid Cream
0.0,0.0,2.0,2.0,,2.0,2.0,0.0,0.0,2.0,Flonase
2.0,2.0,0.0,0.0,2.0,,0.0,2.0,2.0,0.0,Sauna
2.0,2.0,0.0,0.0,2.0,0.0,,2.0,2.0,0.0,Vitamin C
0.0,0.0,2.0,2.0,0.0,2.0,2.0,,0.0,2.0,Iron
0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,,2.0,Inflamma-blox
2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,,Triamcinolone Cream
